date,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,class
1/3/2013 0:00,3,6,13,7,300,85,-2.3,1020.8,-19.7,0,0.5,LOW
1/3/2013 1:00,3,3,6,6,300,85,-2.5,1021.3,-19,0,0.7,LOW
1/3/2013 2:00,3,3,22,13,400,74,-3,1021.3,-19.9,0,0.2,LOW
1/3/2013 3:00,3,6,12,8,300,81,-3.6,1021.8,-19.1,0,1,LOW
1/3/2013 4:00,3,3,14,8,300,81,-3.5,1022.3,-19.4,0,2.1,LOW
1/3/2013 5:00,3,3,10,17,400,71,-4.5,1022.6,-19.5,0,1.7,LOW
1/3/2013 6:00,4,6,12,22,500,65,-4.5,1023.4,-19.5,0,1.8,LOW
1/3/2013 7:00,3,6,25,39,600,48,-2.1,1024.6,-20,0,2.5,LOW
1/3/2013 8:00,9,25,13,42,700,46,-0.2,1025.2,-20.5,0,2.8,LOW
1/3/2013 9:00,11,29,5,18,500,73,0.6,1025.3,-20.4,0,3.8,LOW
1/3/2013 10:00,9,10,3,10,300,83,2,1025.1,-21.3,0,2.2,LOW
1/3/2013 11:00,3,3,4,9,300,81,3.6,1024.8,-20.7,0,2.7,LOW
1/3/2013 12:00,3,6,4,8,300,90,4.8,1023.8,-19.7,0,3,LOW
1/3/2013 13:00,3,101,5,9,300,89,5.8,1022.8,-20.6,0,4.4,LOW
1/3/2013 14:00,9,60,5,6,300,94,5.9,1022.6,-20.5,0,3.6,LOW
1/3/2013 15:00,3,34,6,7,300,94,6,1022.6,-20.4,0,3.2,LOW
1/3/2013 16:00,3,28,5,9,300,92,5.4,1022.8,-20,0,2.2,LOW
1/3/2013 17:00,6,25,19,12,300,88,3.5,1023.4,-20.8,0,2,LOW
1/3/2013 18:00,4,17,40,22,600,77,2.7,1024.2,-20,0,3.6,LOW
1/3/2013 19:00,7,19,37,22,600,75,2,1025.1,-19.3,0,1.7,LOW
1/3/2013 20:00,8,21,23,14,300,80,1.1,1025.9,-18.3,0,1.7,LOW
1/3/2013 21:00,7,16,34,19,300,74,1.6,1026.7,-17.4,0,2.3,LOW
1/3/2013 22:00,5,13,25,16,300,76,0.4,1027.2,-17.4,0,0,LOW
1/3/2013 23:00,7,12,43,25,500,65,0.3,1027,-16.6,0,1.5,LOW
2/3/2013 0:00,11,13,23,16,400,69,-0.5,1027.4,-16.4,0,3,LOW
2/3/2013 1:00,12,10,24,18,400,67,-1.8,1027.9,-16.7,0,0.9,LOW
