No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
1,2013,3,1,0,4,4,3,NA,200,82,-2.3,1020.8,-19.7,0,0.5
2,2013,3,1,1,7,7,3,NA,200,80,-2.5,1021.3,-19,0,0.7
3,2013,3,1,2,5,5,3,2,200,79,-3,1021.3,-19.9,0,0.2
4,2013,3,1,3,6,6,3,NA,200,79,-3.6,1021.8,-19.1,0,1
5,2013,3,1,4,5,5,3,NA,200,81,-3.5,1022.3,-19.4,0,2.1
6,2013,3,1,5,6,6,3,4,200,79,-4.5,1022.6,-19.5,0,1.7
7,2013,3,1,6,5,10,3,4,200,77,-4.5,1023.4,-19.5,0,1.8
8,2013,3,1,7,5,6,3,2,200,80,-2.1,1024.6,-20,0,2.5
9,2013,3,1,8,8,7,3,3,200,79,-0.2,1025.2,-20.5,0,2.8
10,2013,3,1,9,8,8,3,2,200,81,0.6,1025.3,-20.4,0,3.8
11,2013,3,1,10,8,NA,3,NA,200,83,2,1025.1,-21.3,0,2.2
12,2013,3,1,11,3,2,3,NA,200,83,3.6,1024.8,-20.7,0,2.7
13,2013,3,1,12,6,NA,3,NA,200,85,4.8,1023.8,-19.7,0,3
14,2013,3,1,13,7,7,3,2,200,84,5.8,1022.8,-20.6,0,4.4
15,2013,3,1,14,6,7,3,NA,200,89,5.9,1022.6,-20.5,0,3.6
16,2013,3,1,15,10,10,3,NA,200,88,6,1022.6,-20.4,0,3.2
17,2013,3,1,16,3,6,3,NA,200,87,5.4,1022.8,-20,0,2.2
18,2013,3,1,17,5,5,3,NA,200,87,3.5,1023.4,-20.8,0,2
19,2013,3,1,18,5,6,3,NA,200,85,2.7,1024.2,-20,0,3.6
20,2013,3,1,19,14,6,3,NA,200,83,2,1025.1,-19.3,0,1.7
21,2013,3,1,20,6,7,3,NA,200,83,1.1,1025.9,-18.3,0,1.7
22,2013,3,1,21,9,7,3,NA,200,82,1.6,1026.7,-17.4,0,2.3
23,2013,3,1,22,6,5,3,NA,200,79,0.4,1027.2,-17.4,0,0
24,2013,3,1,23,6,9,3,2,300,72,0.3,1027,-16.6,0,1.5
25,2013,3,2,0,4,7,3,2,200,74,-0.5,1027.4,-16.4,0,3
26,2013,3,2,1,6,6,3,2,200,75,-1.8,1027.9,-16.7,0,0.9
27,2013,3,2,2,7,2,13,39,800,36,-1.7,1027.7,-17.4,0,1.5
28,2013,3,2,3,28,47,21,71,1200,6,-2.5,1027.7,-17.4,0,1.7
29,2013,3,2,4,31,65,25,71,1200,5,-3.4,1027.5,-17,0,0.8
30,2013,3,2,5,39,55,22,70,1200,2,-3.5,1026.9,-16.8,0,0.5
31,2013,3,2,6,41,45,16,65,1000,4,-3.5,1026.1,-15.8,0,0.9
32,2013,3,2,7,52,32,13,56,800,8,-3.3,1026.7,-14.4,0,0.9
33,2013,3,2,8,36,18,16,52,900,12,-2,1026.4,-15.1,0,1
34,2013,3,2,9,27,41,18,43,900,20,-0.2,1026.3,-16.6,0,0.5
35,2013,3,2,10,29,38,20,35,600,42,0.6,1025.8,-17.2,0,1.3
36,2013,3,2,11,19,12,22,38,600,43,1.3,1025.4,-17.1,0,1.1
