No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,class,TARGET
1,2013,3,1,0,9,9,3,17,300,89,-0.5,1024.5,-21.4,0,5.7,LOW,0
2,2013,3,1,1,4,4,3,16,300,88,-0.7,1025.1,-22.1,0,3.9,LOW,0
3,2013,3,1,2,7,7,7,17,300,60,-1.2,1025.3,-24.6,0,5.3,LOW,0
4,2013,3,1,3,3,3,5,18,266.6666667,77.33333333,-1.4,1026.2,-25.5,0,4.9,LOW,0
5,2013,3,1,4,3,3,7,21.0398,200,84,-1.9,1027.1,-24.5,0,3.2,LOW,0
6,2013,3,1,5,4,4,9,25,300,78,-2.4,1027.5,-21.3,0,2.4,LOW,0
7,2013,3,1,6,5,5,10,29,400,67,-2.5,1028.2,-20.4,0,2.2,LOW,0
8,2013,3,1,7,3,6,12,40,400,52,-1.4,1029.5,-20.4,0,3,LOW,0
9,2013,3,1,8,3,6,12,41,500,54,-0.3,1030.4,-21.2,0,4.6,LOW,0
10,2013,3,1,9,3,6,9,31,400,69,0.4,1030.5,-23.3,0,5.5,LOW,0
11,2013,3,1,10,3,6,7,19,300,82,1.4,1030.2,-22.5,0,5.2,LOW,0
12,2013,3,1,11,6,6,7,19,400,83,2.9,1029.8,-22.9,0,5.3,LOW,0
13,2013,3,1,12,3,6,6,18,300,86,4,1028.6,-21.2,0,4.6,LOW,0
14,2013,3,1,13,3,6,5,16,300,91,5,1027.8,-21.2,0,4.5,LOW,0
15,2013,3,1,14,3,6,5,16,300,92,6.2,1027.6,-22.2,0,4,LOW,0
16,2013,3,1,15,3,10,5,17,300,92,6,1027.7,-21.3,0,2.1,LOW,0
17,2013,3,1,16,9,17,6,19,300,91,5.6,1027.7,-20.7,0,1.8,LOW,0
18,2013,3,1,17,9,22,9,21,400,87,4.4,1028.2,-20.9,0,3.5,LOW,0
19,2013,3,1,18,11,23,8,28,400,79,3.2,1029.4,-20.3,0,0.5,LOW,0
20,2013,3,1,19,13,17,12,42,600,63,3,1030.1,-19.7,0,1.1,LOW,0
21,2013,3,1,20,5,13,9,38,500,64,1.6,1031.3,-19,0,1.2,LOW,0
22,2013,3,1,21,15,17,13,51,600,48,0.8,1032.4,-19.7,0,1,LOW,0
23,2013,3,1,22,19,21,17,60,700,36,0.1,1032.9,-19.2,0,1.8,LOW,0
24,2013,3,1,23,8,14,16,58,600,39,-0.5,1032.8,-19.7,0,2.1,LOW,0
25,2013,3,2,0,4,11,11,45,500,52,-0.7,1033,-18.3,0,0.6,LOW,0
26,2013,3,2,1,3,6,11,43,500,53,-1.6,1033.2,-17.4,0,0,LOW,0
27,2013,3,2,2,3,6,10,36,400,61,-2.2,1032.9,-16.7,0,0,LOW,0
28,2013,3,2,3,3,6,11,41,500,46,-3.1,1032.6,-15.8,0,0,LOW,0
29,2013,3,2,4,3,6,9,31,400,60,-3.1,1032.7,-16.1,0,0,LOW,0
30,2013,3,2,5,9,9,10,32,500,62,-2.4,1032.1,-18.1,0,0.8,LOW,0
31,2013,3,2,6,3,6,15,59,600,30,-2.3,1031.3,-18.4,0,1.5,LOW,0
32,2013,3,2,7,13,13,14,45,600,47,-1.9,1031.9,-18.5,0,1.4,LOW,0
33,2013,3,2,8,3,6,19,48,600,43,-0.9,1031.7,-18,0,1.6,LOW,0
34,2013,3,2,9,3,6,24,49,500,44,0.1,1031.7,-18.1,0,0.5,LOW,0
35,2013,3,2,10,3,7,24,55,600,36,1.5,1031.2,-18,0,0.6,LOW,0
36,2013,3,2,11,4,14,18,54,700,34,2.6,1030.2,-18.2,0,3.1,LOW,0
37,2013,3,2,12,17,22,18,61,1100,32,3.8,1029,-17.8,0,1.1,LOW,0
38,2013,3,2,13,23,29,19,54,800,39,3.8,1027.6,-17.8,0,1,MEDIUM,1
39,2013,3,2,14,32,34,18,48,700,47,3.9,1026.8,-18.3,0,0.4,MEDIUM,1
40,2013,3,2,15,35,37,25,49,900,49,4.3,1026.2,-18,0,1.5,MEDIUM,1
41,2013,3,2,16,42,52,43,60,1300,41,4.1,1025.4,-16.9,0,1.9,MEDIUM,1
42,2013,3,2,17,54,69,41,62,1100,40,3.2,1025.3,-16,0,1.3,MEDIUM,1
43,2013,3,2,18,56,82,43,63,1100,37,2.2,1025.4,-15.8,0,0.4,MEDIUM,1
44,2013,3,2,19,63,92,45,72,1200,27,1.6,1025,-15.4,0,0.1,MEDIUM,1
45,2013,3,2,20,71,98,46,80,1899,17,0.7,1025,-15.3,0,1,MEDIUM,1
46,2013,3,2,21,79,111,61,95,1800,6,0.5,1024.8,-15.1,0,0.2,MEDIUM,1
47,2013,3,2,22,98,121,71,112,2299,2,-1,1024.2,-14.6,0,0,MEDIUM,1
48,2013,3,2,23,108,131,73,110,2600,2,-1.3,1023.2,-14.5,0,0,MEDIUM,1
49,2013,3,3,0,115,141,70,111,2700,2,-2.2,1022.3,-12.8,0,0,HIGH,2
50,2013,3,3,1,127,152,65,109,2600,2,-1.8,1021.4,-13.3,0,0.7,HIGH,2
51,2013,3,3,2,132,151,64,107,2399,2,-2.4,1020.4,-13.3,0,1.3,HIGH,2
52,2013,3,3,3,124,133,83,104,2399,2,-3.3,1019.4,-12.5,0,1.2,HIGH,2
