date,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,class
1/3/2013 0:00,7,7,3,2,100,91,-2.3,1020.3,-20.7,0,3.1,LOW
1/3/2013 1:00,4,4,3,10.16123333,100,92,-2.7,1020.8,-20.5,0,1.5,LOW
1/3/2013 2:00,4,4,3,10.16123333,100,91,-3.2,1020.6,-21.4,0,1.8,LOW
1/3/2013 3:00,3,3,3,2,200,87.33333333,-3.3,1021.3,-23.7,0,2.4,LOW
1/3/2013 4:00,3,3,7,2.666666667,300,86,-4.1,1022.1,-22.7,0,2.2,LOW
1/3/2013 5:00,4,4,3,3,200,85,-4.2,1022.3,-24.5,0,4.3,LOW
1/3/2013 6:00,3,6,33,7,300,82,-5.9,1023.1,-21.9,0,0.6,LOW
1/3/2013 7:00,3,10,13,13,400,71,-2.7,1024.3,-23.2,0,3.4,LOW
1/3/2013 8:00,3,13,34,38,800,45,-1.6,1025.2,-23.5,0,4.6,LOW
1/3/2013 9:00,17,36,50,28,700,60,-1.1,1025.4,-23.8,0,4.9,LOW
1/3/2013 10:00,19,32,5,3,300,85,1,1025.1,-23.6,0,2.7,LOW
1/3/2013 11:00,10,11,3,4,300,87,2.4,1024.5,-22.5,0,3.9,LOW
1/3/2013 12:00,3,6,5,3,300,86,3.9,1023.8,-21.3,0,1.9,LOW
1/3/2013 13:00,3,6,7,3,300,87,4.7,1022.8,-22.4,0,3.3,LOW
1/3/2013 14:00,3,6,9,6,300,87,5.7,1022.3,-22.6,0,1.9,LOW
1/3/2013 15:00,3,3,4,3,200,89,5.4,1022.7,-22.8,0,3.1,LOW
1/3/2013 16:00,3,6,16,6,300,86,4.6,1022.7,-22.5,0,3.2,LOW
1/3/2013 17:00,4,10,13,12,300,80,3.4,1023.2,-21.7,0,2.8,LOW
1/3/2013 18:00,4,12,10,15,300,76,1.2,1024.4,-21.2,0,1.4,LOW
1/3/2013 19:00,9,18,24,22,500,68,0.8,1025.1,-20.9,0,2.3,LOW
1/3/2013 20:00,20,24,22,24,500,65,0.7,1026.2,-20.4,0,4.4,LOW
1/3/2013 21:00,23,29,27,16,400,71,-0.2,1027.3,-20,0,3.3,MEDIUM
1/3/2013 22:00,13,20,23,18,400,68,-1,1027.9,-19.6,0,3.7,LOW
1/3/2013 23:00,13,24,50,23,400,61,-1.1,1027.4,-19.2,0,3.7,LOW
2/3/2013 0:00,15,21,44,28,500,57,-1.8,1027.3,-19.3,0,4.8,LOW
2/3/2013 1:00,9,16,28,17,400,67,-2.1,1027.9,-19.1,0,2.6,LOW
2/3/2013 2:00,11,13,40,16,300,67,-2.2,1027.4,-19.6,0,3.9,LOW
2/3/2013 3:00,8,15,27,17,400,64,-2.3,1027.1,-19.3,0,2.4,LOW
2/3/2013 4:00,13,15,47,26,400,56,-3.4,1027.2,-18.1,0,0.6,LOW
2/3/2013 5:00,15,18,42.2688,26.4837,400,56.1204,-4.2,1026.9,-16.4,0,1.4,LOW
2/3/2013 6:00,12,17,21,11,400,63,-4.5,1025.8,-16.4,0,1.9,LOW
2/3/2013 7:00,7,11,11,18,500,45,-4,1026.6,-14.2,0,1.2,LOW
