date,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,class
1/3/2013 0:00,8,8,6,28,400,52,-0.7,1023,-18.8,0,4.4,LOW
1/3/2013 1:00,9,9,6,28,400,50,-1.1,1023.2,-18.2,0,4.7,LOW
1/3/2013 2:00,3,6,8,19,400,55,-1.1,1023.5,-18.2,0,5.6,LOW
1/3/2013 3:00,11,30,8,14,300,57.66666667,-1.4,1024.5,-19.4,0,3.1,LOW
1/3/2013 4:00,3,13,9,21.33333333,300,54,-2,1025.2,-19.5,0,2,LOW
1/3/2013 5:00,3,6,8,17,300,54,-2.2,1025.6,-19.6,0,3.7,LOW
1/3/2013 6:00,3,3,10,21,300,52,-2.6,1026.5,-19.1,0,2.5,LOW
1/3/2013 7:00,3,6,11,26,300,47,-1.6,1027.4,-19.1,0,3.8,LOW
1/3/2013 8:00,7,10,14,39,400,36,0.1,1028.3,-19.2,0,4.1,LOW
1/3/2013 9:00,3,9,12,31,400,46,1.2,1028.5,-19.3,0,2.6,LOW
1/3/2013 10:00,3,8,12,30,400,49,1.9,1028.2,-19.4,0,3.6,LOW
1/3/2013 11:00,3,6,10,26,300,54,2.9,1028.2,-20.5,0,3.7,LOW
1/3/2013 12:00,6,9,11,22,300,57,3.9,1027.3,-19.7,0,5.1,LOW
1/3/2013 13:00,10,18,10,20,300,60,5.3,1026.2,-19.3,0,4.3,LOW
1/3/2013 14:00,10,15,10,22,300,60,6,1025.9,-19.6,0,4.4,LOW
1/3/2013 15:00,7,15,9,22,300,61,6.2,1025.7,-18.6,0,2.8,LOW
1/3/2013 16:00,12,22,10,25,300,59,5.9,1025.6,-18.1,0,3.9,LOW
1/3/2013 17:00,13,23,10,26,300,58,4.3,1026.3,-18.7,0,2.8,LOW
1/3/2013 18:00,11,25,12,32,400,49,3.1,1027.4,-18.4,0,2.1,LOW
1/3/2013 19:00,11,17,13,53,600,30,2.3,1028.3,-18.4,0,2.8,LOW
1/3/2013 20:00,9,19,14,55,500,28,1.7,1029.1,-17.3,0,2.1,LOW
1/3/2013 21:00,14,17,16,57,600,25,0.6,1030.1,-16.7,0,0.8,LOW
1/3/2013 22:00,15,20,17,71,700,8,0.9,1030.5,-17.4,0,1.8,LOW
1/3/2013 23:00,15,29,30,62,600,22,-0.2,1030.5,-17.4,0,1.4,LOW
2/3/2013 0:00,15,2,20,61,600,24,-0.4,1031,-17.6,0,1.4,LOW
2/3/2013 1:00,4,12,16,52,500,34,-1,1031.3,-17.3,0,1.1,LOW
