No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,class,TARGET
1,2013,3,1,0,8,8,6,28,400,52,-0.7,1023,-18.8,0,4.4,LOW,0
2,2013,3,1,1,9,9,6,28,400,50,-1.1,1023.2,-18.2,0,4.7,LOW,0
3,2013,3,1,2,3,6,8,19,400,55,-1.1,1023.5,-18.2,0,5.6,LOW,0
4,2013,3,1,3,11,30,8,14,300,57.66666667,-1.4,1024.5,-19.4,0,3.1,LOW,0
5,2013,3,1,4,3,13,9,21.33333333,300,54,-2,1025.2,-19.5,0,2,LOW,0
6,2013,3,1,5,3,6,8,17,300,54,-2.2,1025.6,-19.6,0,3.7,LOW,0
7,2013,3,1,6,3,3,10,21,300,52,-2.6,1026.5,-19.1,0,2.5,LOW,0
8,2013,3,1,7,3,6,11,26,300,47,-1.6,1027.4,-19.1,0,3.8,LOW,0
9,2013,3,1,8,7,10,14,39,400,36,0.1,1028.3,-19.2,0,4.1,LOW,0
10,2013,3,1,9,3,9,12,31,400,46,1.2,1028.5,-19.3,0,2.6,LOW,0
11,2013,3,1,10,3,8,12,30,400,49,1.9,1028.2,-19.4,0,3.6,LOW,0
12,2013,3,1,11,3,6,10,26,300,54,2.9,1028.2,-20.5,0,3.7,LOW,0
13,2013,3,1,12,6,9,11,22,300,57,3.9,1027.3,-19.7,0,5.1,LOW,0
14,2013,3,1,13,10,18,10,20,300,60,5.3,1026.2,-19.3,0,4.3,LOW,0
15,2013,3,1,14,10,15,10,22,300,60,6,1025.9,-19.6,0,4.4,LOW,0
16,2013,3,1,15,7,15,9,22,300,61,6.2,1025.7,-18.6,0,2.8,LOW,0
17,2013,3,1,16,12,22,10,25,300,59,5.9,1025.6,-18.1,0,3.9,LOW,0
18,2013,3,1,17,13,23,10,26,300,58,4.3,1026.3,-18.7,0,2.8,LOW,0
19,2013,3,1,18,11,25,12,32,400,49,3.1,1027.4,-18.4,0,2.1,LOW,0
20,2013,3,1,19,11,17,13,53,600,30,2.3,1028.3,-18.4,0,2.8,LOW,0
21,2013,3,1,20,9,19,14,55,500,28,1.7,1029.1,-17.3,0,2.1,LOW,0
22,2013,3,1,21,14,17,16,57,600,25,0.6,1030.1,-16.7,0,0.8,LOW,0
23,2013,3,1,22,15,20,17,71,700,8,0.9,1030.5,-17.4,0,1.8,LOW,0
24,2013,3,1,23,15,29,30,62,600,22,-0.2,1030.5,-17.4,0,1.4,LOW,0
25,2013,3,2,0,15,2,20,61,600,24,-0.4,1031,-17.6,0,1.4,LOW,0
26,2013,3,2,1,4,12,16,52,500,34,-1,1031.3,-17.3,0,1.1,LOW,0
27,2013,3,2,2,12,12,16,52,400,32,-1.5,1030.9,-16.9,0,1.7,LOW,0
28,2013,3,2,3,3,9,16,53,400,30,-1.4,1030.6,-17.6,0,1.4,LOW,0
29,2013,3,2,4,3,6,12,53,400,31,-1.5,1030.8,-17.7,0,0.9,LOW,0
30,2013,3,2,5,3,6,26,66,500,15,-1.8,1030.1,-17.5,0,2,LOW,0
31,2013,3,2,6,4,12,26,71,600,8,-2.5,1029.6,-17.7,0,0.7,LOW,0
32,2013,3,2,7,3,14,46,72,600,10,-1.7,1029.8,-17,0,1.2,LOW,0
33,2013,3,2,8,3,6,40,68,600,15,-0.4,1029.6,-17.6,0,1.8,LOW,0
34,2013,3,2,9,3,12,28,66,600,19,0.6,1029.7,-16.7,0,1.7,LOW,0
35,2013,3,2,10,3,10,31,72,600,14,1.7,1028.9,-16.3,0,1.6,LOW,0
36,2013,3,2,11,6,13,23,74,700,12,2.2,1028.2,-16.8,0,3.1,LOW,0
37,2013,3,2,12,16,18,24,73,800,17,2.7,1027.3,-16.4,0,2.7,LOW,0
38,2013,3,2,13,19,27,28,68,700,25,3.3,1025.7,-16.4,0,1.5,LOW,0
39,2013,3,2,14,32,36,23,63,700,31,3.8,1024.8,-16,0,1.3,MEDIUM,1
40,2013,3,2,15,31,37,24,65,800,33,3.9,1024.1,-16.5,0,1.2,MEDIUM,1
41,2013,3,2,16,34,42,32,73,1100,27,3.5,1023.6,-15.2,0,2.5,MEDIUM,1
42,2013,3,2,17,47,70,41,80,1100,21,2.2,1023.4,-13.6,0,0.4,MEDIUM,1
43,2013,3,2,18,58,83,49,85,1100,15,1.2,1023.2,-12.3,0,0.9,MEDIUM,1
44,2013,3,2,19,65,94,51,94,1200,3,1.5,1022.9,-13.8,0,1.2,MEDIUM,1
45,2013,3,2,20,78,108,55,101,1500,2,1.2,1022.9,-14.1,0,1.2,MEDIUM,1
46,2013,3,2,21,84,122,68,103,2200,2,0.6,1022.6,-14.2,0,1.3,MEDIUM,1
47,2013,3,2,22,88,132,65,104,2000,2,-0.6,1022.3,-13.9,0,1.4,MEDIUM,1
48,2013,3,2,23,84,116,62,100,2100,2,-0.8,1021.1,-13.4,0,1.3,MEDIUM,1
49,2013,3,3,0,88,127,69,98,2799,2,-1.4,1020.4,-13,0,1.2,MEDIUM,1
50,2013,3,3,1,104,145,78,97,3000,2,-2,1019.4,-13.2,0,1.2,MEDIUM,1
51,2013,3,3,2,106,142,72,94,2899,2,-2.8,1018.3,-12.3,0,1.4,MEDIUM,1
52,2013,3,3,3,96,147,55,88,2799,2,-2.6,1017.2,-13.2,0,1.2,MEDIUM,1
53,2013,3,3,4,89,130,54,88,2500,2,-4.3,1016.9,-11.8,0,0.9,MEDIUM,1
54,2013,3,3,5,79,102,48,89,2299,2,-5.6,1016.3,-10.9,0,0.8,MEDIUM,1
55,2013,3,3,6,81,107,50,86,2899,2,-5.8,1016.2,-11,0,0.8,MEDIUM,1
56,2013,3,3,7,90,140,45,83,3799,2,-3.1,1016.5,-11.1,0,1.5,MEDIUM,1
57,2013,3,3,8,100,171,51,82,4400,2,0.7,1016.2,-13,0,2.3,MEDIUM,1
58,2013,3,3,9,108,181,97,89,3299,2,3.5,1015.8,-13.8,0,0.4,MEDIUM,1
59,2013,3,3,10,100,147,90,94,2600,2,6.5,1014.9,-13.2,0,1.3,MEDIUM,1
60,2013,3,3,11,97,135,78,98,2399,2,11.4,1013.8,-10.8,0,0.9,MEDIUM,1
61,2013,3,3,12,101,134,79,109,2500,2,13.8,1012.5,-13.3,0,1.1,MEDIUM,1
62,2013,3,3,13,107,147,60,102,1899,11,16,1011.5,-13.5,0,5.9,MEDIUM,1
63,2013,3,3,14,84,114,25,67,900,40,16.7,1010.8,-14,0,4.3,MEDIUM,1
64,2013,3,3,15,43,82,15,49,600,53,16.9,1010.5,-12.7,0,2,MEDIUM,1
65,2013,3,3,16,26,89,22,61,700,44,16.4,1010.6,-15.4,0,2.9,MEDIUM,1
66,2013,3,3,17,50,132,21,67,700,42,13.1,1011.1,-10.1,0,1.7,MEDIUM,1
67,2013,3,3,18,41,93,28,77,900,30,8.7,1012.3,-11.3,0,1.6,MEDIUM,1
68,2013,3,3,19,68,196,69,131,1899,2,12.2,1013.4,-13.7,0,2,MEDIUM,1
69,2013,3,3,20,145,294,39,97,1300,11,11.7,1013.5,-12.6,0,0.9,HIGH,2
70,2013,3,3,21,79,91,17,69,700,24,5.3,1013.6,-10.9,0,0,MEDIUM,1
71,2013,3,3,22,24,40,18,83,900,5,3.1,1014.1,-10.2,0,1.8,MEDIUM,1
72,2013,3,3,23,17,52,25,89,1100,2,5.2,1014.8,-10.6,0,1.7,LOW,0
73,2013,3,4,0,19,70,45,90,2399,2,7.7,1015.7,-11.1,0,2.6,LOW,0
74,2013,3,4,1,44,117,49,89,2299,2,8.2,1016.7,-11.7,0,2.8,MEDIUM,1
75,2013,3,4,2,42,93,24,67,800,15,8.1,1016.7,-11.8,0,4.3,MEDIUM,1
76,2013,3,4,3,18,29,17,50,600,35,7.2,1016.9,-11.6,0,2.8,LOW,0
77,2013,3,4,4,10,23,20,40,500,40,6,1018,-11.6,0,1,LOW,0
78,2013,3,4,5,12,34,22,43,500,33,2.7,1018.6,-10.9,0,0.5,LOW,0
79,2013,3,4,6,8,30,24,52,500,24,3.8,1018.9,-11.4,0,2.3,LOW,0
80,2013,3,4,7,8,32,28,68,800,5,6.5,1019.7,-10.7,0,2.3,LOW,0
81,2013,3,4,8,12,61,36,74,1000,2,9,1020.7,-12.2,0,3.1,LOW,0
82,2013,3,4,9,19,50,40,66,900,16,10.6,1020.8,-12.1,0,1.3,LOW,0
83,2013,3,4,10,14,25,23,49,600,38,11.9,1020.4,-12.4,0,2.1,LOW,0
