date,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,class
1/3/2013 0:00,4,4,3,2.666666667,200,82,-2.3,1020.8,-19.7,0,0.5,LOW
1/3/2013 1:00,7,7,3,3.333333333,200,80,-2.5,1021.3,-19,0,0.7,LOW
1/3/2013 2:00,5,5,3,2,200,79,-3,1021.3,-19.9,0,0.2,LOW
1/3/2013 3:00,6,6,3,3.333333333,200,79,-3.6,1021.8,-19.1,0,1,LOW
1/3/2013 4:00,5,5,3,2.666666667,200,81,-3.5,1022.3,-19.4,0,2.1,LOW
1/3/2013 5:00,6,6,3,4,200,79,-4.5,1022.6,-19.5,0,1.7,LOW
1/3/2013 6:00,5,10,3,4,200,77,-4.5,1023.4,-19.5,0,1.8,LOW
1/3/2013 7:00,5,6,3,2,200,80,-2.1,1024.6,-20,0,2.5,LOW
1/3/2013 8:00,8,7,3,3,200,79,-0.2,1025.2,-20.5,0,2.8,LOW
1/3/2013 9:00,8,8,3,2,200,81,0.6,1025.3,-20.4,0,3.8,LOW
1/3/2013 10:00,8,5.666666667,3,2.333333333,200,83,2,1025.1,-21.3,0,2.2,LOW
1/3/2013 11:00,3,2,3,2,200,83,3.6,1024.8,-20.7,0,2.7,LOW
1/3/2013 12:00,6,5.333333333,3,2.333333333,200,85,4.8,1023.8,-19.7,0,3,LOW
1/3/2013 13:00,7,7,3,2,200,84,5.8,1022.8,-20.6,0,4.4,LOW
1/3/2013 14:00,6,7,3,2.333333333,200,89,5.9,1022.6,-20.5,0,3.6,LOW
1/3/2013 15:00,10,10,3,2.333333333,200,88,6,1022.6,-20.4,0,3.2,LOW
1/3/2013 16:00,3,6,3,2.333333333,200,87,5.4,1022.8,-20,0,2.2,LOW
1/3/2013 17:00,5,5,3,2.333333333,200,87,3.5,1023.4,-20.8,0,2,LOW
1/3/2013 18:00,5,6,3,2.333333333,200,85,2.7,1024.2,-20,0,3.6,LOW
