date,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,class
1/3/2013 0:00,4,4,14,20,300,69,-0.7,1023,-18.8,0,4.4,LOW
1/3/2013 1:00,4,4,13,17,300,72,-1.1,1023.2,-18.2,0,4.7,LOW
1/3/2013 2:00,3,3,10,19,300,69,-1.1,1023.5,-18.2,0,5.6,LOW
1/3/2013 3:00,3,6,7,24,400,62,-1.4,1024.5,-19.4,0,3.1,LOW
1/3/2013 4:00,3,6,5,14,400,71,-2,1025.2,-19.5,0,2,LOW
1/3/2013 5:00,3,6,6,14,400,71,-2.2,1025.6,-19.6,0,3.7,LOW
1/3/2013 6:00,6,6,6,20,400,66,-2.6,1026.5,-19.1,0,2.5,LOW
1/3/2013 7:00,3,3,7,26,400,61,-1.6,1027.4,-19.1,0,3.8,LOW
1/3/2013 8:00,3,6,9,37,500,50,0.1,1028.3,-19.2,0,4.1,LOW
1/3/2013 9:00,7,11,9,30,400,58,1.2,1028.5,-19.3,0,2.6,LOW
1/3/2013 10:00,3,8,11,26,400,65,1.9,1028.2,-19.4,0,3.6,LOW
1/3/2013 11:00,3,6,8,23,300,70,2.9,1028.2,-20.5,0,3.7,LOW
1/3/2013 12:00,7,14,6,23,300,73,3.9,1027.3,-19.7,0,5.1,LOW
1/3/2013 13:00,12,14,4,20,300,78,5.3,1026.2,-19.3,0,4.3,LOW
1/3/2013 14:00,14,16,4,21,300,79,6,1025.9,-19.6,0,4.4,LOW
1/3/2013 15:00,12,21,3,21,300,79,6.2,1025.7,-18.6,0,2.8,LOW
1/3/2013 16:00,13,22,5,21,300,78,5.9,1025.6,-18.1,0,3.9,LOW
1/3/2013 17:00,9,28,6,27,400,70,4.3,1026.3,-18.7,0,2.8,LOW
1/3/2013 18:00,10,21,8,35,500,61,3.1,1027.4,-18.4,0,2.1,LOW
1/3/2013 19:00,13,17,3,43,500,52,2.3,1028.3,-18.4,0,2.8,LOW
1/3/2013 20:00,12,14,14,41,500,52,1.7,1029.1,-17.3,0,2.1,LOW
1/3/2013 21:00,11,14,24,51,500,42,0.6,1030.1,-16.7,0,0.8,LOW
1/3/2013 22:00,10,15,11,60,600,31,0.9,1030.5,-17.4,0,1.8,LOW
1/3/2013 23:00,13,15,11,51,600,37,-0.2,1030.5,-17.4,0,1.4,LOW
2/3/2013 0:00,6,15,16,44,500,46,-0.4,1031,-17.6,0,1.4,LOW
2/3/2013 1:00,3,8,14,33,400,57,-1,1031.3,-17.3,0,1.1,LOW
2/3/2013 2:00,4,6,11.66666667,26,400,62,-1.5,1030.9,-16.9,0,1.7,LOW
2/3/2013 3:00,3,6,12,32,366.6666667,79,-1.4,1030.6,-17.6,0,1.4,LOW
2/3/2013 4:00,3,6,9,33.66666667,400,51,-1.5,1030.8,-17.7,0,0.9,LOW
2/3/2013 5:00,3,6,15,59,500,32,-1.8,1030.1,-17.5,0,2,LOW
2/3/2013 6:00,3,6,13,59,500,30,-2.5,1029.6,-17.7,0,0.7,LOW
2/3/2013 7:00,3,6,27,72,600,17,-1.7,1029.8,-17,0,1.2,LOW
2/3/2013 8:00,3,6,27,70,600,21,-0.4,1029.6,-17.6,0,1.8,LOW
2/3/2013 9:00,3,8,10,42,400,49,0.6,1029.7,-16.7,0,1.7,LOW
2/3/2013 10:00,3,6,14,48,500,44,1.7,1028.9,-16.3,0,1.6,LOW
2/3/2013 11:00,3,11,17,62,700,32,2.2,1028.2,-16.8,0,3.1,LOW
2/3/2013 12:00,14,18,18,68,800,30,2.7,1027.3,-16.4,0,2.7,LOW
2/3/2013 13:00,21,25,15,51,600,47,3.3,1025.7,-16.4,0,1.5,LOW
2/3/2013 14:00,28,32,16,45,700,54,3.8,1024.8,-16,0,1.3,MEDIUM
2/3/2013 15:00,31,32,25,48,900,53,3.9,1024.1,-16.5,0,1.2,MEDIUM
2/3/2013 16:00,33,46,42,60,1200,44,3.5,1023.6,-15.2,0,2.5,MEDIUM
2/3/2013 17:00,45,62,47,66,1100,38,2.2,1023.4,-13.6,0,0.4,MEDIUM
2/3/2013 18:00,52,71,52,72,1100,31,1.2,1023.2,-12.3,0,0.9,MEDIUM
2/3/2013 19:00,58,83,56,88,1200,16,1.5,1022.9,-13.8,0,1.2,MEDIUM
2/3/2013 20:00,67,90,57,100,1399,5,1.2,1022.9,-14.1,0,1.2,MEDIUM
2/3/2013 21:00,79,98,57,106,1700,2,0.6,1022.6,-14.2,0,1.3,MEDIUM
2/3/2013 22:00,86,102,51,108,1899,2,-0.6,1022.3,-13.9,0,1.4,MEDIUM
2/3/2013 23:00,79,88,50,104,1700,2,-0.8,1021.1,-13.4,0,1.3,MEDIUM
3/3/2013 0:00,77,93,69,106,1899,2,-1.4,1020.4,-13,0,1.2,MEDIUM
3/3/2013 1:00,93,104,92,106,2399,2,-2,1019.4,-13.2,0,1.2,MEDIUM
3/3/2013 2:00,103,113,122,106,3200,2,-2.8,1018.3,-12.3,0,1.4,MEDIUM
3/3/2013 3:00,113,126,131,105,2600,2,-2.6,1017.2,-13.2,0,1.2,MEDIUM
3/3/2013 4:00,98,104,116,100,2200,2,-4.3,1016.9,-11.8,0,0.9,MEDIUM
3/3/2013 5:00,86,95,80,96,2399,2,-5.6,1016.3,-10.9,0,0.8,MEDIUM
3/3/2013 6:00,83,94,62,97,2600,2,-5.8,1016.2,-11,0,0.8,MEDIUM
3/3/2013 7:00,82,100,75,100,2500,2,-3.1,1016.5,-11.1,0,1.5,MEDIUM
3/3/2013 8:00,79,102,78,98,2600,2,0.7,1016.2,-13,0,2.3,MEDIUM
3/3/2013 9:00,82,115,131,102,2700,3,3.5,1015.8,-13.8,0,0.4,MEDIUM
3/3/2013 10:00,90,124,161,104,2500,7,6.5,1014.9,-13.2,0,1.3,MEDIUM
3/3/2013 11:00,98,123,130,111,2600,10,11.4,1013.8,-10.8,0,0.9,MEDIUM
3/3/2013 12:00,104,143,90,116,2500,15,13.8,1012.5,-13.3,0,1.1,MEDIUM
3/3/2013 13:00,92,133,42,87,1500,32,16,1011.5,-13.5,0,5.9,MEDIUM
3/3/2013 14:00,74,102,19,52,900,58,16.7,1010.8,-14,0,4.3,MEDIUM
3/3/2013 15:00,47,109,6,24,400,78,16.9,1010.5,-12.7,0,2,MEDIUM
3/3/2013 16:00,22,88,22,54,800,67,16.4,1010.6,-15.4,0,2.9,MEDIUM
3/3/2013 17:00,52,121,34,79,1100,52,13.1,1011.1,-10.1,0,1.7,MEDIUM
3/3/2013 18:00,65,135,42,99,1399,35,8.7,1012.3,-11.3,0,1.6,MEDIUM
3/3/2013 19:00,92,187,67,146,2100,6,12.2,1013.4,-13.7,0,2,MEDIUM
3/3/2013 20:00,138,234,60,144,2399,2,11.7,1013.5,-12.6,0,0.9,HIGH
3/3/2013 21:00,143,216,14,95,1300,8,5.3,1013.6,-10.9,0,0,HIGH
3/3/2013 22:00,13,47,9,93,1100,3,3.1,1014.1,-10.2,0,1.8,LOW
3/3/2013 23:00,30,50,9,95,1500,2,5.2,1014.8,-10.6,0,1.7,MEDIUM
4/3/2013 0:00,28,48,22,94,1700,2,7.7,1015.7,-11.1,0,2.6,MEDIUM
4/3/2013 1:00,35,50,41,79,1100,11,8.2,1016.7,-11.7,0,2.8,MEDIUM
4/3/2013 2:00,26,50,15,31,500,53,8.1,1016.7,-11.8,0,4.3,MEDIUM
4/3/2013 3:00,8,28,6,26,400,61,7.2,1016.9,-11.6,0,2.8,LOW
4/3/2013 4:00,4,20,13,33,400,49,6,1018,-11.6,0,1,LOW
4/3/2013 5:00,6,25,16,26,400,54,2.7,1018.6,-10.9,0,0.5,LOW
4/3/2013 6:00,10,26,18,39,600,40,3.8,1018.9,-11.4,0,2.3,LOW
4/3/2013 7:00,7,22,23,67,800,16,6.5,1019.7,-10.7,0,2.3,LOW
4/3/2013 8:00,10,28,27,67,800,20,9,1020.7,-12.2,0,3.1,LOW
4/3/2013 9:00,13,29,32,52,700,37,10.6,1020.8,-12.1,0,1.3,LOW
4/3/2013 10:00,10,22,12,31,500,62,11.9,1020.4,-12.4,0,2.1,LOW
4/3/2013 11:00,9,14,11,31,500,67,13.1,1020,-13,0,3,LOW
4/3/2013 12:00,9,25,12,28,400,73,14.2,1018.9,-13.9,0,2.7,LOW
4/3/2013 13:00,15,18,8,22,400,80,15.3,1017.8,-13,0,2,LOW
4/3/2013 14:00,3,10,3,18,300,88,15.2,1017,-13.1,0,0.7,LOW
4/3/2013 15:00,6,8,6,31,400,76,15.3,1016.3,-13,0,2.4,LOW
4/3/2013 16:00,3,6,10,35,400,84,14.5,1015.7,-13.7,0,2.6,LOW
4/3/2013 17:00,3,100,7,41,400,95,12.7,1015.9,-11.8,0,2.6,LOW
4/3/2013 18:00,17,70,9,51,500,80,11.6,1016.5,-11.3,0,3.4,LOW
4/3/2013 19:00,27,58,14,70,600,58,10.9,1016.6,-10.6,0,3.5,MEDIUM
4/3/2013 20:00,36,75,21,79,600,46,9.9,1016.9,-10.3,0,3.1,MEDIUM
4/3/2013 21:00,41,78,45,87,700,37,8.4,1016.9,-10,0,2.1,MEDIUM
