No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,class,TARGET
1,2013,3,1,0,4,4,14,20,300,69,-0.7,1023,-18.8,0,4.4,LOW,0
2,2013,3,1,1,4,4,13,17,300,72,-1.1,1023.2,-18.2,0,4.7,LOW,0
3,2013,3,1,2,3,3,10,19,300,69,-1.1,1023.5,-18.2,0,5.6,LOW,0
4,2013,3,1,3,3,6,7,24,400,62,-1.4,1024.5,-19.4,0,3.1,LOW,0
5,2013,3,1,4,3,6,5,14,400,71,-2,1025.2,-19.5,0,2,LOW,0
6,2013,3,1,5,3,6,6,14,400,71,-2.2,1025.6,-19.6,0,3.7,LOW,0
7,2013,3,1,6,6,6,6,20,400,66,-2.6,1026.5,-19.1,0,2.5,LOW,0
8,2013,3,1,7,3,3,7,26,400,61,-1.6,1027.4,-19.1,0,3.8,LOW,0
9,2013,3,1,8,3,6,9,37,500,50,0.1,1028.3,-19.2,0,4.1,LOW,0
10,2013,3,1,9,7,11,9,30,400,58,1.2,1028.5,-19.3,0,2.6,LOW,0
11,2013,3,1,10,3,8,11,26,400,65,1.9,1028.2,-19.4,0,3.6,LOW,0
12,2013,3,1,11,3,6,8,23,300,70,2.9,1028.2,-20.5,0,3.7,LOW,0
13,2013,3,1,12,7,14,6,23,300,73,3.9,1027.3,-19.7,0,5.1,LOW,0
14,2013,3,1,13,12,14,4,20,300,78,5.3,1026.2,-19.3,0,4.3,LOW,0
15,2013,3,1,14,14,16,4,21,300,79,6,1025.9,-19.6,0,4.4,LOW,0
16,2013,3,1,15,12,21,3,21,300,79,6.2,1025.7,-18.6,0,2.8,LOW,0
17,2013,3,1,16,13,22,5,21,300,78,5.9,1025.6,-18.1,0,3.9,LOW,0
18,2013,3,1,17,9,28,6,27,400,70,4.3,1026.3,-18.7,0,2.8,LOW,0
19,2013,3,1,18,10,21,8,35,500,61,3.1,1027.4,-18.4,0,2.1,LOW,0
20,2013,3,1,19,13,17,3,43,500,52,2.3,1028.3,-18.4,0,2.8,LOW,0
21,2013,3,1,20,12,14,14,41,500,52,1.7,1029.1,-17.3,0,2.1,LOW,0
22,2013,3,1,21,11,14,24,51,500,42,0.6,1030.1,-16.7,0,0.8,LOW,0
23,2013,3,1,22,10,15,11,60,600,31,0.9,1030.5,-17.4,0,1.8,LOW,0
24,2013,3,1,23,13,15,11,51,600,37,-0.2,1030.5,-17.4,0,1.4,LOW,0
25,2013,3,2,0,6,15,16,44,500,46,-0.4,1031,-17.6,0,1.4,LOW,0
26,2013,3,2,1,3,8,14,33,400,57,-1,1031.3,-17.3,0,1.1,LOW,0
27,2013,3,2,2,4,6,11.66666667,26,400,62,-1.5,1030.9,-16.9,0,1.7,LOW,0
28,2013,3,2,3,3,6,12,32,366.6666667,79,-1.4,1030.6,-17.6,0,1.4,LOW,0
29,2013,3,2,4,3,6,9,33.66666667,400,51,-1.5,1030.8,-17.7,0,0.9,LOW,0
30,2013,3,2,5,3,6,15,59,500,32,-1.8,1030.1,-17.5,0,2,LOW,0
31,2013,3,2,6,3,6,13,59,500,30,-2.5,1029.6,-17.7,0,0.7,LOW,0
32,2013,3,2,7,3,6,27,72,600,17,-1.7,1029.8,-17,0,1.2,LOW,0
33,2013,3,2,8,3,6,27,70,600,21,-0.4,1029.6,-17.6,0,1.8,LOW,0
34,2013,3,2,9,3,8,10,42,400,49,0.6,1029.7,-16.7,0,1.7,LOW,0
35,2013,3,2,10,3,6,14,48,500,44,1.7,1028.9,-16.3,0,1.6,LOW,0
36,2013,3,2,11,3,11,17,62,700,32,2.2,1028.2,-16.8,0,3.1,LOW,0
37,2013,3,2,12,14,18,18,68,800,30,2.7,1027.3,-16.4,0,2.7,LOW,0
38,2013,3,2,13,21,25,15,51,600,47,3.3,1025.7,-16.4,0,1.5,LOW,0
39,2013,3,2,14,28,32,16,45,700,54,3.8,1024.8,-16,0,1.3,MEDIUM,1
