date,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,class
1/3/2013 0:00,6,18,5,28,800,88,0.1,1021.1,-18.6,0,4.4,LOW
1/3/2013 1:00,6,15,5,28,800,88,-0.3,1021.5,-19,0,4,LOW
1/3/2013 2:00,5,18,4,39.66666667,700,52,-0.7,1021.5,-19.8,0,4.6,LOW
1/3/2013 3:00,6,20,6,20.33333333,700,71,-1,1022.7,-21.2,0,2.8,LOW
1/3/2013 4:00,5,17,5,43.66666667,600,73,-1.3,1023,-21.4,0,3.6,LOW
1/3/2013 5:00,4,11,3,39.66666667,700,87,-1.8,1023.6,-21.9,0,1.2,LOW
1/3/2013 6:00,3,6,3,39.66666667,700,92,-2.6,1024.3,-20.4,0,1.2,LOW
1/3/2013 7:00,5,5,3,24.66666667,800,86,-0.9,1025.6,-20.5,0,1.1,LOW
1/3/2013 8:00,5,9,5,5.666666667,900,81,0.1,1026.1,-20.3,0,3,LOW
1/3/2013 9:00,4,10,6,5.666666667,900,82,1.1,1026.1,-20.6,0,2.8,LOW
1/3/2013 10:00,7,8,8,5.666666667,900,82,1.9,1026.1,-21.3,0,3,LOW
1/3/2013 11:00,3,6,8,24.66666667,800,85,3.3,1026.1,-20.9,0,3.2,LOW
1/3/2013 12:00,9,10,8,24.66666667,800,86,4.1,1025.1,-20.3,0,3.2,LOW
1/3/2013 13:00,10,19,9,5.666666667,900,86,5.3,1024.1,-20.1,0,2.7,LOW
1/3/2013 14:00,13,20,8,47.33333333,800,88,5.5,1023.8,-20,0,2.1,LOW
1/3/2013 15:00,13,16,8,47.33333333,800,90,6.3,1023.5,-19.3,0,2.7,LOW
1/3/2013 16:00,11,22,6,47.33333333,800,90,5.9,1023.6,-18.8,0,1.8,LOW
1/3/2013 17:00,10,20,4,47.33333333,800,87,5.1,1024.2,-18.7,0,1,LOW
1/3/2013 18:00,11,20,6,5.666666667,900,80,3.7,1025.3,-19.2,0,1.6,LOW
1/3/2013 19:00,11,31,8,5.666666667,1000,69,2.7,1026.1,-19.3,0,1.7,LOW
1/3/2013 20:00,13,25,12,5,1100,61,1.6,1027.1,-18.4,0,1.9,LOW
1/3/2013 21:00,15,23,14,13,1200,52,1,1028.1,-17.4,0,0.7,LOW
1/3/2013 22:00,16,28,16,19,1200,45,1.3,1028.4,-17.6,0,1,LOW
1/3/2013 23:00,16,28,14,20,1100,44,0.2,1028.6,-17.6,0,1.1,LOW
2/3/2013 0:00,14,18,24,43,1399,25,-0.3,1028.9,-18,0,1.4,LOW
2/3/2013 1:00,18,39,25,28,1300,37,-0.7,1029.2,-17.9,0,1,LOW
2/3/2013 2:00,19,29,30,13,1100,47,-0.8,1028.8,-18,0,1.4,LOW
2/3/2013 3:00,15,24,20,12,1000,46,-1.2,1028.6,-17.9,0,1.1,LOW
2/3/2013 4:00,13,16,21,24,1200,37,-1.3,1028.7,-18.9,0,1.1,LOW
2/3/2013 5:00,12,23,26,11,1200,50,-1.3,1028,-18.4,0,1.4,LOW
2/3/2013 6:00,12,12,18,5.666666667,1000,62,-1.6,1027.5,-18.6,0,0.7,LOW
2/3/2013 7:00,3,6,19,11,1100,52,-1.3,1028,-17.9,0,0.6,LOW
2/3/2013 8:00,3,9,22,15,1200,51,-0.6,1027.7,-17.8,0,0.9,LOW
2/3/2013 9:00,10,15,30,27,1200,42,0.3,1027.8,-17.5,0,0.7,LOW
2/3/2013 10:00,15,17,34,45,1300,30,1.7,1027.2,-17.3,0,1.9,LOW
2/3/2013 11:00,20,31,27,45,1399,31,2.5,1026.4,-17.1,0,2,LOW
2/3/2013 12:00,26,36,26,23,1200,49,3.1,1025.1,-17.2,0,2.2,MEDIUM
2/3/2013 13:00,31,43,23,6,1100,65,3.5,1023.7,-17.4,0,1.2,MEDIUM
2/3/2013 14:00,32,36,26,12,1200,62,3.7,1022.9,-16.7,0,1.1,MEDIUM
2/3/2013 15:00,36,37,40,22,1600,59,3.8,1022.3,-16,0,1.2,MEDIUM
2/3/2013 16:00,47,66,47,30,1600,55,3.6,1021.7,-15.1,0,1.4,MEDIUM
2/3/2013 17:00,59,80,50,32,1500,51,3.2,1021.6,-14.5,0,1.4,MEDIUM
2/3/2013 18:00,63,88,50,36,1600,50,2.8,1021.2,-13.9,0,0.6,MEDIUM
2/3/2013 19:00,70,102,62,62,1899,26,1.4,1021.1,-13.5,0,0.7,MEDIUM
2/3/2013 20:00,86,125,66,89,2100,6,1.4,1021.1,-14.7,0,0.9,MEDIUM
2/3/2013 21:00,98,147,67,84,2200,7,0.5,1020.7,-13.6,0,0.6,MEDIUM
2/3/2013 22:00,98,126,71,97,2500,5,-0.8,1020.2,-12.7,0,0.6,MEDIUM
2/3/2013 23:00,86,108,71,97,2600,5,-1.9,1019.2,-11.5,0,0,MEDIUM
3/3/2013 0:00,81,108,64,91,2500,4,-2.5,1018.4,-11,0,0.5,MEDIUM
3/3/2013 1:00,80,99,66,85,3000,5,-2.6,1017.6,-10.9,0,0.2,MEDIUM
