No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,class,TARGET
1,2013,3,1,0,7,7,3,2,100,91,-2.3,1020.3,-20.7,0,3.1,LOW,0
2,2013,3,1,1,4,4,3,10.16123333,100,92,-2.7,1020.8,-20.5,0,1.5,LOW,0
3,2013,3,1,2,4,4,3,10.16123333,100,91,-3.2,1020.6,-21.4,0,1.8,LOW,0
4,2013,3,1,3,3,3,3,2,200,87.33333333,-3.3,1021.3,-23.7,0,2.4,LOW,0
5,2013,3,1,4,3,3,7,2.666666667,300,86,-4.1,1022.1,-22.7,0,2.2,LOW,0
6,2013,3,1,5,4,4,3,3,200,85,-4.2,1022.3,-24.5,0,4.3,LOW,0
7,2013,3,1,6,3,6,33,7,300,82,-5.9,1023.1,-21.9,0,0.6,LOW,0
8,2013,3,1,7,3,10,13,13,400,71,-2.7,1024.3,-23.2,0,3.4,LOW,0
9,2013,3,1,8,3,13,34,38,800,45,-1.6,1025.2,-23.5,0,4.6,LOW,0
10,2013,3,1,9,17,36,50,28,700,60,-1.1,1025.4,-23.8,0,4.9,LOW,0
11,2013,3,1,10,19,32,5,3,300,85,1,1025.1,-23.6,0,2.7,LOW,0
12,2013,3,1,11,10,11,3,4,300,87,2.4,1024.5,-22.5,0,3.9,LOW,0
13,2013,3,1,12,3,6,5,3,300,86,3.9,1023.8,-21.3,0,1.9,LOW,0
14,2013,3,1,13,3,6,7,3,300,87,4.7,1022.8,-22.4,0,3.3,LOW,0
15,2013,3,1,14,3,6,9,6,300,87,5.7,1022.3,-22.6,0,1.9,LOW,0
16,2013,3,1,15,3,3,4,3,200,89,5.4,1022.7,-22.8,0,3.1,LOW,0
17,2013,3,1,16,3,6,16,6,300,86,4.6,1022.7,-22.5,0,3.2,LOW,0
18,2013,3,1,17,4,10,13,12,300,80,3.4,1023.2,-21.7,0,2.8,LOW,0
