date,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,class
1/3/2013 0:00,5,14,4,12,200,85,-0.5,1024.5,-21.4,0,5.7,LOW
1/3/2013 1:00,8,12,6,14,200,84,-0.7,1025.1,-22.1,0,3.9,LOW
1/3/2013 2:00,3,6,5,14,200,83,-1.2,1025.3,-24.6,0,5.3,LOW
1/3/2013 3:00,5,5,5,14,200,84,-1.4,1026.2,-25.5,0,4.9,LOW
1/3/2013 4:00,5,5,6,21,200,77,-1.9,1027.1,-24.5,0,3.2,LOW
1/3/2013 5:00,3,3,13,21,300,77,-2.4,1027.5,-21.3,0,2.4,LOW
1/3/2013 6:00,4,4,15,32,300,62,-2.5,1028.2,-20.4,0,2.2,LOW
1/3/2013 7:00,3,7,14,45,400,48,-1.4,1029.5,-20.4,0,3,LOW
1/3/2013 8:00,3,6,13,49,400,46,-0.3,1030.4,-21.2,0,4.6,LOW
1/3/2013 9:00,11,14,9,28,400,68,0.4,1030.5,-23.3,0,5.5,LOW
1/3/2013 10:00,3,7,6,20,300,77,1.4,1030.2,-22.5,0,5.2,LOW
1/3/2013 11:00,3,6,6,19,300,81,2.9,1029.8,-22.9,0,5.3,LOW
1/3/2013 12:00,3,6,4,17,300,86,4,1028.6,-21.2,0,4.6,LOW
1/3/2013 13:00,3,6,4,17,300,87,5,1027.8,-21.2,0,4.5,LOW
1/3/2013 14:00,6,11,4,19,300,86,6.2,1027.6,-22.2,0,4,LOW
1/3/2013 15:00,5,13,4,18,300,89,6,1027.7,-21.3,0,2.1,LOW
1/3/2013 16:00,5,12,4,21,300,85,5.6,1027.7,-20.7,0,1.8,LOW
1/3/2013 17:00,10,23,8,25,400,80,4.4,1028.2,-20.9,0,3.5,LOW
1/3/2013 18:00,11,22,7,27,400,77,3.2,1029.4,-20.3,0,0.5,LOW
1/3/2013 19:00,11,12,12,39,400,64,3,1030.1,-19.7,0,1.1,LOW
1/3/2013 20:00,10,14,18,46,500,55,1.6,1031.3,-19,0,1.2,LOW
1/3/2013 21:00,12,15,18,50,500,49,0.8,1032.4,-19.7,0,1,LOW
1/3/2013 22:00,17,20,20,56,600,43,0.1,1032.9,-19.2,0,1.8,LOW
1/3/2013 23:00,6,17,17,41,500,57,-0.5,1032.8,-19.7,0,2.1,LOW
2/3/2013 0:00,13,13,12,40,500,57,-0.7,1033,-18.3,0,0.6,LOW
2/3/2013 1:00,3,9,13,39,500,56,-1.6,1033.2,-17.4,0,0,LOW
2/3/2013 2:00,3,9,10,38,400,52,-2.2,1032.9,-16.7,0,0,LOW
2/3/2013 3:00,3,6,8,30,300,89,-3.1,1032.6,-15.8,0,0,LOW
2/3/2013 4:00,3,6,7,39.66666667,400,59,-3.1,1032.7,-16.1,0,0,LOW
2/3/2013 5:00,3,6,9,42,400,50,-2.4,1032.1,-18.1,0,0.8,LOW
2/3/2013 6:00,3,6,16,57,500,35,-2.3,1031.3,-18.4,0,1.5,LOW
2/3/2013 7:00,3,7,33,61,500,32,-1.9,1031.9,-18.5,0,1.4,LOW
2/3/2013 8:00,3,6,28,50,500,43,-0.9,1031.7,-18,0,1.6,LOW
2/3/2013 9:00,3,13,26,39,500,54,0.1,1031.7,-18.1,0,0.5,LOW
2/3/2013 10:00,3,9,25,43,500,52,1.5,1031.2,-18,0,0.6,LOW
2/3/2013 11:00,14,16,25,52,700,46,2.6,1030.2,-18.2,0,3.1,LOW
2/3/2013 12:00,18,19,24,75,1000,30,3.8,1029,-17.8,0,1.1,LOW
2/3/2013 13:00,26,37,29,72,1000,35,3.8,1027.6,-17.8,0,1,MEDIUM
2/3/2013 14:00,33,42,24,59,800,48,3.9,1026.8,-18.3,0,0.4,MEDIUM
2/3/2013 15:00,24,42,27,58,1000,50,4.3,1026.2,-18,0,1.5,MEDIUM
2/3/2013 16:00,42,52,50,67,1300,44,4.1,1025.4,-16.9,0,1.9,MEDIUM
2/3/2013 17:00,54,66,51,72,1200,38,3.2,1025.3,-16,0,1.3,MEDIUM
2/3/2013 18:00,63,69,50,75,1100,34,2.2,1025.4,-15.8,0,0.4,MEDIUM
2/3/2013 19:00,64,77,51,80,1200,28,1.6,1025,-15.4,0,0.1,MEDIUM
2/3/2013 20:00,65,82,54,98,1399,13,0.7,1025,-15.3,0,1,MEDIUM
2/3/2013 21:00,69,90,68,116,2200,6,0.5,1024.8,-15.1,0,0.2,MEDIUM
2/3/2013 22:00,83,109,73,118,2200,6,-1,1024.2,-14.6,0,0,MEDIUM
