No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,
1,2013,3,1,0,5,14,4,12,200,85,-0.5,1024.5,-21.4,0,5.7,LOW
2,2013,3,1,1,8,12,6,14,200,84,-0.7,1025.1,-22.1,0,3.9,LOW
3,2013,3,1,2,3,6,5,14,200,83,-1.2,1025.3,-24.6,0,5.3,LOW
4,2013,3,1,3,5,5,5,14,200,84,-1.4,1026.2,-25.5,0,4.9,LOW
5,2013,3,1,4,5,5,6,21,200,77,-1.9,1027.1,-24.5,0,3.2,LOW
6,2013,3,1,5,3,3,13,21,300,77,-2.4,1027.5,-21.3,0,2.4,LOW
7,2013,3,1,6,4,4,15,32,300,62,-2.5,1028.2,-20.4,0,2.2,LOW
8,2013,3,1,7,3,7,14,45,400,48,-1.4,1029.5,-20.4,0,3,LOW
9,2013,3,1,8,3,6,13,49,400,46,-0.3,1030.4,-21.2,0,4.6,LOW
10,2013,3,1,9,11,14,9,28,400,68,0.4,1030.5,-23.3,0,5.5,LOW
11,2013,3,1,10,3,7,6,20,300,77,1.4,1030.2,-22.5,0,5.2,LOW
12,2013,3,1,11,3,6,6,19,300,81,2.9,1029.8,-22.9,0,5.3,LOW
13,2013,3,1,12,3,6,4,17,300,86,4,1028.6,-21.2,0,4.6,LOW
14,2013,3,1,13,3,6,4,17,300,87,5,1027.8,-21.2,0,4.5,LOW
15,2013,3,1,14,6,11,4,19,300,86,6.2,1027.6,-22.2,0,4,LOW
16,2013,3,1,15,5,13,4,18,300,89,6,1027.7,-21.3,0,2.1,LOW
17,2013,3,1,16,5,12,4,21,300,85,5.6,1027.7,-20.7,0,1.8,LOW
18,2013,3,1,17,10,23,8,25,400,80,4.4,1028.2,-20.9,0,3.5,LOW
19,2013,3,1,18,11,22,7,27,400,77,3.2,1029.4,-20.3,0,0.5,LOW
20,2013,3,1,19,11,12,12,39,400,64,3,1030.1,-19.7,0,1.1,LOW
21,2013,3,1,20,10,14,18,46,500,55,1.6,1031.3,-19,0,1.2,LOW
22,2013,3,1,21,12,15,18,50,500,49,0.8,1032.4,-19.7,0,1,LOW
23,2013,3,1,22,17,20,20,56,600,43,0.1,1032.9,-19.2,0,1.8,LOW
24,2013,3,1,23,6,17,17,41,500,57,-0.5,1032.8,-19.7,0,2.1,LOW
25,2013,3,2,0,13,13,12,40,500,57,-0.7,1033,-18.3,0,0.6,LOW
26,2013,3,2,1,3,9,13,39,500,56,-1.6,1033.2,-17.4,0,0,LOW
27,2013,3,2,2,3,9,NA,38,400,52,-2.2,1032.9,-16.7,0,0,LOW
28,2013,3,2,3,3,6,8,30,NA,89,-3.1,1032.6,-15.8,0,0,LOW
29,2013,3,2,4,3,6,7,NA,400,59,-3.1,1032.7,-16.1,0,0,LOW
30,2013,3,2,5,3,6,9,42,400,50,-2.4,1032.1,-18.1,0,0.8,LOW
31,2013,3,2,6,3,6,16,57,500,35,-2.3,1031.3,-18.4,0,1.5,LOW
32,2013,3,2,7,3,7,33,61,500,32,-1.9,1031.9,-18.5,0,1.4,LOW
33,2013,3,2,8,3,6,28,50,500,43,-0.9,1031.7,-18,0,1.6,LOW
34,2013,3,2,9,3,13,26,39,500,54,0.1,1031.7,-18.1,0,0.5,LOW
35,2013,3,2,10,3,9,25,43,500,52,1.5,1031.2,-18,0,0.6,LOW
36,2013,3,2,11,14,16,25,52,700,46,2.6,1030.2,-18.2,0,3.1,LOW
37,2013,3,2,12,18,19,24,75,1000,30,3.8,1029,-17.8,0,1.1,LOW
38,2013,3,2,13,26,37,29,72,1000,35,3.8,1027.6,-17.8,0,1,MEDIUM
39,2013,3,2,14,33,42,24,59,800,48,3.9,1026.8,-18.3,0,0.4,MEDIUM
40,2013,3,2,15,24,42,27,58,1000,50,4.3,1026.2,-18,0,1.5,MEDIUM
41,2013,3,2,16,42,52,50,67,1300,44,4.1,1025.4,-16.9,0,1.9,MEDIUM
42,2013,3,2,17,54,66,51,72,1200,38,3.2,1025.3,-16,0,1.3,MEDIUM
43,2013,3,2,18,63,69,50,75,1100,34,2.2,1025.4,-15.8,0,0.4,MEDIUM
44,2013,3,2,19,64,77,51,80,1200,28,1.6,1025,-15.4,0,0.1,MEDIUM
45,2013,3,2,20,65,82,54,98,1399,13,0.7,1025,-15.3,0,1,MEDIUM
46,2013,3,2,21,69,90,68,116,2200,6,0.5,1024.8,-15.1,0,0.2,MEDIUM
47,2013,3,2,22,83,109,73,118,2200,6,-1,1024.2,-14.6,0,0,MEDIUM
48,2013,3,2,23,92,114,78,108,2899,7,-1.3,1023.2,-14.5,0,0,MEDIUM
49,2013,3,3,0,122,142,86,106,3100,8,-2.2,1022.3,-12.8,0,0,HIGH
50,2013,3,3,1,134,152,72,108,3299,7,-1.8,1021.4,-13.3,0,0.7,HIGH
51,2013,3,3,2,145,162,76,109,2899,7,-2.4,1020.4,-13.3,0,1.3,HIGH
52,2013,3,3,3,139,145,88,111,2200,5,-3.3,1019.4,-12.5,0,1.2,HIGH
53,2013,3,3,4,87,111,84,107,2500,5,-4.2,1019,-12.6,0,0.1,MEDIUM
54,2013,3,3,5,90,109,77,102,3100,5,-5.2,1018.5,-11.6,0,0.9,MEDIUM
55,2013,3,3,6,118,122,83,106,3399,6,-5.4,1018.3,-11.3,0,0,HIGH
56,2013,3,3,7,118,122,74,103,3200,6,-3.3,1018.6,-9.8,0,0.1,HIGH
57,2013,3,3,8,122,137,88,105,3200,5,1.2,1018.1,-13.7,0,0.8,HIGH
58,2013,3,3,9,118,137,91,102,2600,6,4,1017.6,-13.4,0,0.6,HIGH
59,2013,3,3,10,108,118,102,105,2299,10,6.8,1016.7,-13.5,0,1.1,MEDIUM
60,2013,3,3,11,104,119,95,111,2200,14,9.5,1015.6,-13.7,0,0.5,MEDIUM
61,2013,3,3,12,106,126,91,132,2600,14,13.4,1014.4,-13.6,0,1.8,MEDIUM
62,2013,3,3,13,115,142,68,130,2399,19,15.5,1013,-13.8,0,4,HIGH
63,2013,3,3,14,102,128,28,66,1200,50,16.4,1012.4,-15.4,0,7,MEDIUM
64,2013,3,3,15,56,77,9,24,500,80,16.6,1012,-15.2,0,4.7,MEDIUM
65,2013,3,3,16,30,70,8,28,500,78,15.8,1012.2,-14.7,0,1.3,MEDIUM
66,2013,3,3,17,27,89,23,74,1000,56,12.6,1013,-13.4,0,1.3,MEDIUM
67,2013,3,3,18,63,126,37,106,1300,35,9.9,1014.1,-10.3,0,1,MEDIUM
68,2013,3,3,19,94,168,60,147,1899,10,6.8,1014.9,-9.6,0,0,MEDIUM
69,2013,3,3,20,130,215,58,151,2200,5,5.2,1015.2,-8.3,0,0,HIGH
70,2013,3,3,21,149,227,53,143,2399,5,4,1015.4,-9.1,0,0.2,HIGH
71,2013,3,3,22,134,170,42,132,2600,5,2.7,1015.8,-8.4,0,0.4,HIGH
72,2013,3,3,23,103,138,36,128,2799,5,7.1,1016.7,-12.2,0,0.4,MEDIUM
73,2013,3,4,0,88,119,38,119,2899,6,9.9,1017.5,-14.1,0,4.9,MEDIUM
74,2013,3,4,1,76,94,21,58,800,29,9.3,1018.4,-13.9,0,3.6,MEDIUM
75,2013,3,4,2,26,42,7,17,400,74,8.4,1018.7,-13.9,0,1.5,MEDIUM
76,2013,3,4,3,11,27,5,14,300,80,7.4,1018.6,-14.2,0,3.6,LOW
77,2013,3,4,4,7,12,8,18,300,74,6.2,1019.6,-15.2,0,2.7,LOW
78,2013,3,4,5,3,6,10,22,300,74,6,1020.1,-14.2,0,2.4,LOW
79,2013,3,4,6,3,6,14,39,400,53,4.2,1020.8,-12.7,0,2,LOW
80,2013,3,4,7,12,20,20,72,600,20,7.2,1021.5,-12.6,0,3.2,LOW
81,2013,3,4,8,10,24,26,75,700,19,8.6,1022.3,-14.4,0,2.8,LOW
82,2013,3,4,9,13,27,23,51,600,44,9.9,1022.6,-14.8,0,2.4,LOW
83,2013,3,4,10,13,20,16,32,500,68,11.5,1022.3,-14.3,0,0,LOW
84,2013,3,4,11,14,18,8,22,400,80,12.3,1022,-15.4,0,2.4,LOW
85,2013,3,4,12,12,17,11,25,500,81,13.9,1020.6,-16.2,0,3.3,LOW
86,2013,3,4,13,3,13,4,19,400,88,14.8,1019.5,-15.5,0,1.4,LOW
87,2013,3,4,14,3,6,4,21,400,89,15.3,1018.6,-15.1,0,1.3,LOW
88,2013,3,4,15,10,11,4,22,400,92,15.6,1018.1,-14.8,0,2,LOW
89,2013,3,4,16,5,13,7,43,600,77,14.7,1017.5,-15.5,0,2.9,LOW
90,2013,3,4,17,19,24,8,44,600,86,13.2,1017.8,-15.7,0,3,LOW
91,2013,3,4,18,21,29,6,54,600,82,12.6,1018.3,-13.4,0,2.9,LOW
92,2013,3,4,19,24,38,11,71,700,59,12,1018.5,-13.1,0,2.7,MEDIUM
93,2013,3,4,20,32,61,14,84,900,43,10.9,1018.8,-11.9,0,1.4,MEDIUM
94,2013,3,4,21,40,66,19,85,900,44,10.2,1018.8,-11.8,0,2,MEDIUM
95,2013,3,4,22,50,73,23,84,900,45,10,1018.5,-12,0,3,MEDIUM
96,2013,3,4,23,54,76,45,98,1100,92,9.4,1017.5,-11.3,0,2.7,MEDIUM
97,2013,3,5,0,69,87,54,66,1100,92,8.8,1017,-10.7,0,2.1,MEDIUM
98,2013,3,5,1,74,94,75,61,1100,92,7.8,1016.5,-10.6,0,1.3,MEDIUM
99,2013,3,5,2,87,112,74,63,1100,92,4.7,1016.1,-10.6,0,0,MEDIUM
100,2013,3,5,3,93,106,80,71,1300,92,4.5,1015.7,-9.3,0,0,MEDIUM
101,2013,3,5,4,99,110,88,82,1500,92,1.3,1015.7,-8.8,0,1.2,MEDIUM
102,2013,3,5,5,116,127,83,85,1700,92,0.4,1015.7,-9.6,0,0.8,HIGH
103,2013,3,5,6,121,128,67,103,2500,92,-0.2,1015.5,-8.4,0,1,HIGH
104,2013,3,5,7,116,131,61,103,3500,92,2.1,1015.4,-8.6,0,0.9,HIGH
105,2013,3,5,8,125,146,69,103,3799,92,5,1015.1,-8.9,0,1,HIGH
106,2013,3,5,9,140,167,86,118,4299,92,6.7,1014.5,-8.9,0,1.3,HIGH
107,2013,3,5,10,152,194,103,140,3799,92,9.1,1013.8,-8.5,0,0.9,HIGH
108,2013,3,5,11,128,197,105,152,3700,92,10.9,1012.8,-8.4,0,1.3,HIGH
109,2013,3,5,12,3,215,98,155,2799,21,12.3,1011.4,-8.8,0,0,LOW
110,2013,3,5,13,3,192,86,162,2600,92,13,1010.1,-8.3,0,1.5,LOW
111,2013,3,5,14,3,175,86,196,3000,92,13.3,1009.5,-8,0,1.6,LOW
112,2013,3,5,15,163,192,85,211,3000,86,13.8,1009.1,-7.6,0,1.9,HIGH
113,2013,3,5,16,192,206,95,195,2700,86,13.2,1009,-7.5,0,1.8,HIGH
114,2013,3,5,17,203,230,93,163,2100,82,11.6,1009.4,-7.3,0,0.7,HIGH
115,2013,3,5,18,195,216,92,156,2000,59,9.4,1009.8,-5.7,0,0.7,HIGH
116,2013,3,5,19,185,204,97,175,2200,48,6.7,1010.4,-5,0,0.1,HIGH
117,2013,3,5,20,203,218,102,184,2700,48,5.2,1010.7,-4.7,0,0,HIGH
118,2013,3,5,21,217,226,117,183,2799,48,4.3,1010.5,-2.6,0,1,HIGH
119,2013,3,5,22,235,238,123,185,3299,48,4.3,1010.7,-4.2,0,0.8,HIGH
120,2013,3,5,23,242,243,122,181,3299,48,4.9,1010.5,-5.8,0,0,HIGH
121,2013,3,6,0,229,232,124,182,3299,48,5.6,1010.4,-7,0,0.8,HIGH
122,2013,3,6,1,202,236,117,169,2899,44,3.5,1010.2,-6,0,0.5,HIGH
123,2013,3,6,2,184,214,NA,158,2399,35,6.3,1009.9,-7,0,1,HIGH
124,2013,3,6,3,169,190,107,155,NA,35,6.3,1009.6,-7,0,0.7,HIGH
125,2013,3,6,4,153,175,87,NA,1899,35,5.1,1009.5,-6.5,0,1,HIGH
126,2013,3,6,5,145,160,93,139,2200,35,4.6,1009.8,-6.3,0,0.7,HIGH
127,2013,3,6,6,148,162,97,138,2500,35,4.1,1010.3,-6.2,0,0.8,HIGH
128,2013,3,6,7,156,178,108,131,2399,35,5.3,1011,-6,0,0.9,HIGH
129,2013,3,6,8,152,179,88,119,2399,35,6.9,1010.8,-6.5,0,1.3,HIGH
130,2013,3,6,9,176,177,88,116,2500,35,8.4,1010.8,-6.6,0,0.8,HIGH
131,2013,3,6,10,138,170,96,114,2200,35,8.8,1010.4,-6.2,0,1.1,HIGH
132,2013,3,6,11,167,171,97,112,2100,35,9.5,1009.5,-6,0,1,HIGH
133,2013,3,6,12,172,176,109,122,2299,35,10.4,1008.5,-5.6,0,0.2,HIGH
134,2013,3,6,13,189,201,116,131,2500,35,11.5,1007.6,-5.1,0,0.8,HIGH
135,2013,3,6,14,204,223,118,138,2700,35,13.2,1006.9,-4.5,0,1,HIGH
136,2013,3,6,15,227,245,119,153,2899,35,14.7,1007,-4.6,0,1.3,HIGH
137,2013,3,6,16,237,257,133,166,3100,35,14.6,1007.2,-4.7,0,0,HIGH
138,2013,3,6,17,232,247,134,176,3200,30,11.8,1007.9,-4.4,0,0.6,HIGH
139,2013,3,6,18,232,249,146,179,3399,14,8.5,1008.5,-4,0,0,HIGH
140,2013,3,6,19,235,258,142,177,3500,14,8.5,1009.3,-4.4,0,0.4,HIGH
141,2013,3,6,20,235,262,140,173,3500,14,5.8,1009.9,-3.6,0,0.2,HIGH
142,2013,3,6,21,238,260,139,165,3700,14,5.3,1009.4,-4,0,0.7,HIGH
143,2013,3,6,22,234,257,140,158,3700,14,8.3,1009.3,-3.6,0,1.8,HIGH
144,2013,3,6,23,234,251,130,156,4099,14,5,1009.4,-3.3,0,1,HIGH
145,2013,3,7,0,231,249,121,151,3899,14,2.9,1009.2,-3.2,0,0.6,HIGH
146,2013,3,7,1,226,236,126,146,3600,14,2.2,1009,-3.3,0,1.6,HIGH
147,2013,3,7,2,228,241,122,140,3500,14,3.3,1008.9,-3.3,0,1.6,HIGH
148,2013,3,7,3,230,250,104,136,3600,14,1.2,1008.3,-3.9,0,0.4,HIGH
149,2013,3,7,4,227,245,74,153,6500,14,0.9,1008.5,-2.5,0,1.4,HIGH
150,2013,3,7,5,291,321,69,159,7200,14,0.5,1008.6,-3.4,0,0.9,HIGH
151,2013,3,7,6,314,337,88,165,6500,14,-0.4,1008.4,-3.3,0,0.1,HIGH
152,2013,3,7,7,318,331,87,157,5500,14,2.6,1008.7,-1.8,0,0,HIGH
153,2013,3,7,8,300,301,111,150,5000,14,8.9,1008.7,-2.1,0,0.9,HIGH
154,2013,3,7,9,281,287,160,149,4099,14,9.4,1007.9,-2.6,0,1.1,HIGH
155,2013,3,7,10,253,256,153,180,4500,14,10.5,1007.2,-2.6,0,1,HIGH
156,2013,3,7,11,258,273,130,216,4700,14,14.7,1005.5,-2.3,0,3.2,HIGH
157,2013,3,7,12,299,341,142,273,5599,14,16,1003.2,-2.5,0,2.7,HIGH
158,2013,3,7,13,363,396,136,210,3899,32,17.9,1001.8,-3,0,2.5,HIGH
159,2013,3,7,14,332,336,100,148,3299,78,18.1,1000.5,-3.4,0,1.8,HIGH
160,2013,3,7,15,317,319,75,106,2600,102,19.5,999.3,-4.8,0,3,HIGH
161,2013,3,7,16,214,261,58,94,2000,102,19.1,998.9,-3.8,0,0.9,HIGH
162,2013,3,7,17,150,194,63,87,1700,102,17.3,998.5,-3.5,0,0.4,HIGH
163,2013,3,7,18,195,208,66,118,1899,102,12.5,998.9,-2.2,0,0.7,HIGH
164,2013,3,7,19,188,198,64,144,2000,34,11.2,999.4,-1.6,0,1,HIGH
165,2013,3,7,20,178,196,69,190,2799,102,10.2,999.6,0.2,0,0.5,HIGH
166,2013,3,7,21,203,257,113,245,4599,102,8.6,999.5,0.1,0,0.6,HIGH
167,2013,3,7,22,403,502,122,256,5400,102,8.1,1000.1,-0.9,0,0.8,HIGH
168,2013,3,7,23,490,535,118,237,5400,102,7,1000,-1.4,0,0.4,HIGH
169,2013,3,8,0,493,500,116,223,5700,102,5.4,1000,-1.5,0,0.9,HIGH
170,2013,3,8,1,396,446,105,210,5099,102,5.3,1000.2,-1.8,0,0.9,HIGH
171,2013,3,8,2,346,391,107,203,4700,102,4.1,999.9,-2.3,0,0,HIGH
172,2013,3,8,3,312,340,105,200,4299,102,3.5,999.8,-2.5,0,0.6,HIGH
173,2013,3,8,4,303,329,86,188,4200,102,3.4,1000.2,-2.6,0,1,HIGH
174,2013,3,8,5,294,320,78,180,4200,102,3.4,1001,-2,0,0.2,HIGH
175,2013,3,8,6,291,314,72,174,4000,102,3.5,1001.6,-2.5,0,0.7,HIGH
176,2013,3,8,7,288,309,63,163,5000,102,6.6,1002.2,-0.9,0,0.1,HIGH
177,2013,3,8,8,284,306,76,161,5500,102,11.6,1002.3,-1.9,0,1,HIGH
178,2013,3,8,9,279,324,100,170,5200,102,16.6,1002.6,-3.5,0,1,HIGH
179,2013,3,8,10,216,233,78.54,151.922,NA,102,19.9,1002.4,-5.2,0,0.9,HIGH
180,2013,3,8,11,157,135,46,132,2500,102,21.2,1002,-2.7,0,3.1,HIGH
181,2013,3,8,12,105,123,36,111,1600,102,21.7,1001.1,-4.4,0,2.9,MEDIUM
182,2013,3,8,13,184,203,43,111,1800,102,17.2,1001,0.8,0,3.5,HIGH
183,2013,3,8,14,332,487,98,148,3899,102,13.8,1001.2,-0.3,0,4.9,HIGH
184,2013,3,8,15,239,284,87,97,2600,102,11.9,1001.5,-2,0,5.1,HIGH
185,2013,3,8,16,155,168,60,64,1500,101,10.9,1001.7,-1.5,0,2.4,HIGH
186,2013,3,8,17,86,101,46,50,1000,93,9.9,1001.9,-1.5,0,1.6,MEDIUM
