date,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,class
1/3/2013 0:00,6,6,4,8,300,81,-0.5,1024.5,-21.4,0,5.7,LOW
1/3/2013 1:00,6,29,5,9,300,80,-0.7,1025.1,-22.1,0,3.9,LOW
1/3/2013 2:00,6,6,4,12,300,75,-1.2,1025.3,-24.6,0,5.3,LOW
1/3/2013 3:00,6,6,4,12,300,74,-1.4,1026.2,-25.5,0,4.9,LOW
1/3/2013 4:00,5,5,7,15,400,70,-1.9,1027.1,-24.5,0,3.2,LOW
1/3/2013 5:00,10,10,12,15,400,70,-2.4,1027.5,-21.3,0,2.4,LOW
1/3/2013 6:00,8,19,12,14,400,72,-2.5,1028.2,-20.4,0,2.2,LOW
1/3/2013 7:00,7,7,12,19,400,67,-1.4,1029.5,-20.4,0,3,LOW
1/3/2013 8:00,3,6,14,29,500,56,-0.3,1030.4,-21.2,0,4.6,LOW
1/3/2013 9:00,8,2,11,22,500,65,0.4,1030.5,-23.3,0,5.5,LOW
1/3/2013 10:00,9,9,8,17,400,72,1.4,1030.2,-22.5,0,5.2,LOW
1/3/2013 11:00,9,23,8,16,400,75,2.9,1029.8,-22.9,0,5.3,LOW
1/3/2013 12:00,9,19,7,16,400,76,4,1028.6,-21.2,0,4.6,LOW
1/3/2013 13:00,10,34,7,12,400,81,5,1027.8,-21.2,0,4.5,LOW
1/3/2013 14:00,10,19,6,12,400,83,6.2,1027.6,-22.2,0,4,LOW
1/3/2013 15:00,3,6,6,15,400,81,6,1027.7,-21.3,0,2.1,LOW
1/3/2013 16:00,8,22,7,14,300,82,5.6,1027.7,-20.7,0,1.8,LOW
1/3/2013 17:00,10,28,9,21,400,75,4.4,1028.2,-20.9,0,3.5,LOW
1/3/2013 18:00,11,21,10,28,500,66,3.2,1029.4,-20.3,0,0.5,LOW
1/3/2013 19:00,12,4,7,39,600,53,3,1030.1,-19.7,0,1.1,LOW
1/3/2013 20:00,12,16,8,30,500,60,1.6,1031.3,-19,0,1.2,LOW
1/3/2013 21:00,12,17,13,43,700,44,0.8,1032.4,-19.7,0,1,LOW
1/3/2013 22:00,12,16,15,48,800,39,0.1,1032.9,-19.2,0,1.8,LOW
1/3/2013 23:00,15,17,17,52,800,37,-0.5,1032.8,-19.7,0,2.1,LOW
2/3/2013 0:00,16,17,10,33,500,56,-0.7,1033,-18.3,0,0.6,LOW
2/3/2013 1:00,3,10,10,27,500,60,-1.6,1033.2,-17.4,0,0,LOW
2/3/2013 2:00,4,8,10,25,400,57,-2.2,1032.9,-16.7,0,0,LOW
2/3/2013 3:00,9,10,8,26,433.3333333,83,-3.1,1032.6,-15.8,0,0,LOW
2/3/2013 4:00,3,8,7,29.66666667,500,54,-3.1,1032.7,-16.1,0,0,LOW
2/3/2013 5:00,6,10,10,26,400,37,-2.4,1032.1,-18.1,0,0.8,LOW
2/3/2013 6:00,5,8,11,37,500,29,-2.3,1031.3,-18.4,0,1.5,LOW
2/3/2013 7:00,3,6,15,61,700,13,-1.9,1031.9,-18.5,0,1.4,LOW
2/3/2013 8:00,12,15,15,54,700,22,-0.9,1031.7,-18,0,1.6,LOW
2/3/2013 9:00,13,20,19,60,700,18,0.1,1031.7,-18.1,0,0.5,LOW
2/3/2013 10:00,18,23,22,60,700,20,1.5,1031.2,-18,0,0.6,LOW
2/3/2013 11:00,16,22,21,64,900,17,2.6,1030.2,-18.2,0,3.1,LOW
2/3/2013 12:00,26,34,26,58,900,27,3.8,1029,-17.8,0,1.1,MEDIUM
2/3/2013 13:00,27,34,24,44,700,44,3.8,1027.6,-17.8,0,1,MEDIUM
2/3/2013 14:00,35,40,24,35,800,53,3.9,1026.8,-18.3,0,0.4,MEDIUM
2/3/2013 15:00,35,38,48,45,1200,48,4.3,1026.2,-18,0,1.5,MEDIUM
2/3/2013 16:00,48,58,52,49,1100,43,4.1,1025.4,-16.9,0,1.9,MEDIUM
2/3/2013 17:00,56,64,49,46,1000,47,3.2,1025.3,-16,0,1.3,MEDIUM
2/3/2013 18:00,49,52,52,51,1100,39,2.2,1025.4,-15.8,0,0.4,MEDIUM
2/3/2013 19:00,64,70,43,55,1100,26,1.6,1025,-15.4,0,0.1,MEDIUM
2/3/2013 20:00,63,75,44,72,1300,10,0.7,1025,-15.3,0,1,MEDIUM
2/3/2013 21:00,73,82,40,78,1600,4,0.5,1024.8,-15.1,0,0.2,MEDIUM
2/3/2013 22:00,79,79,36,76,2000,6,-1,1024.2,-14.6,0,0,MEDIUM
2/3/2013 23:00,98,106,39,79,2200,4,-1.3,1023.2,-14.5,0,0,MEDIUM
3/3/2013 0:00,84,97,39,80,2299,4,-2.2,1022.3,-12.8,0,0,MEDIUM
3/3/2013 1:00,85,93,54,83,2500,6,-1.8,1021.4,-13.3,0,0.7,MEDIUM
3/3/2013 2:00,110,119,68,87,2200,6,-2.4,1020.4,-13.3,0,1.3,MEDIUM
3/3/2013 3:00,112,119,89,86,2200,5,-3.3,1019.4,-12.5,0,1.2,MEDIUM
3/3/2013 4:00,113,123,82,83,2200,4,-4.2,1019,-12.6,0,0.1,MEDIUM
3/3/2013 5:00,84,104,37,72,2100,4,-5.2,1018.5,-11.6,0,0.9,MEDIUM
3/3/2013 6:00,77,86,27,69,2200,4,-5.4,1018.3,-11.3,0,0,MEDIUM
3/3/2013 7:00,73,78,21,67,2600,5,-3.3,1018.6,-9.8,0,0.1,MEDIUM
3/3/2013 8:00,74,81,41,70,2799,6,1.2,1018.1,-13.7,0,0.8,MEDIUM
3/3/2013 9:00,90,108,100,82,2200,8,4,1017.6,-13.4,0,0.6,MEDIUM
3/3/2013 10:00,96,97,103,90,2399,8,6.8,1016.7,-13.5,0,1.1,MEDIUM
3/3/2013 11:00,96,106,101,100,2700,10,9.5,1015.6,-13.7,0,0.5,MEDIUM
3/3/2013 12:00,105,127,91,110,2700,11,13.4,1014.4,-13.6,0,1.8,MEDIUM
3/3/2013 13:00,114,124,56,97,2100,21,15.5,1013,-13.8,0,4,HIGH
3/3/2013 14:00,92,96,46,92,1700,35,16.4,1012.4,-15.4,0,7,MEDIUM
3/3/2013 15:00,102,137,44,65,1300,64,16.6,1012,-15.2,0,4.7,MEDIUM
3/3/2013 16:00,98,144,28,47,900,70,15.8,1012.2,-14.7,0,1.3,MEDIUM
3/3/2013 17:00,77,130,33,57,1100,63,12.6,1013,-13.4,0,1.3,MEDIUM
3/3/2013 18:00,84,139,60,90,1600,38,9.9,1014.1,-10.3,0,1,MEDIUM
3/3/2013 19:00,128,207,61,109,1899,12,6.8,1014.9,-9.6,0,0,HIGH
3/3/2013 20:00,141,205,54,104,2000,7,5.2,1015.2,-8.3,0,0,HIGH
3/3/2013 21:00,142,186,42,98,1899,6,4,1015.4,-9.1,0,0.2,HIGH
3/3/2013 22:00,107,110,30,76,1500,5,2.7,1015.8,-8.4,0,0.4,MEDIUM
3/3/2013 23:00,69,96,28,77,1600,4,7.1,1016.7,-12.2,0,0.4,MEDIUM
4/3/2013 0:00,44,50,35,84,4200,8,9.9,1017.5,-14.1,0,4.9,MEDIUM
4/3/2013 1:00,52,79,29,62,1300,15,9.3,1018.4,-13.9,0,3.6,MEDIUM
4/3/2013 2:00,11,20,6,17,500,62,8.4,1018.7,-13.9,0,1.5,LOW
4/3/2013 3:00,13,40,3,10,400,74,7.4,1018.6,-14.2,0,3.6,LOW
4/3/2013 4:00,6,30,8,22,500,57,6.2,1019.6,-15.2,0,2.7,LOW
4/3/2013 5:00,7,22,15,39,700,34,6,1020.1,-14.2,0,2.4,LOW
4/3/2013 6:00,9,36,22,49,700,25,4.2,1020.8,-12.7,0,2,LOW
4/3/2013 7:00,10,28,25,57,1200,11,7.2,1021.5,-12.6,0,3.2,LOW
4/3/2013 8:00,14,46,28,67,1399,9,8.6,1022.3,-14.4,0,2.8,LOW
4/3/2013 9:00,21,32,26,51,1000,29,9.9,1022.6,-14.8,0,2.4,LOW
4/3/2013 10:00,20,27,13,33,700,53,11.5,1022.3,-14.3,0,0,LOW
4/3/2013 11:00,13,18,13,30,600,61,12.3,1022,-15.4,0,2.4,LOW
4/3/2013 12:00,16,27,11,28,600,66,13.9,1020.6,-16.2,0,3.3,LOW
4/3/2013 13:00,14,24,8,24,500,72,14.8,1019.5,-15.5,0,1.4,LOW
4/3/2013 14:00,16,18,8,20,500,79,15.3,1018.6,-15.1,0,1.3,LOW
4/3/2013 15:00,5,11,8,27,500,76,15.6,1018.1,-14.8,0,2,LOW
4/3/2013 16:00,15,19,10,27,500,82,14.7,1017.5,-15.5,0,2.9,LOW
4/3/2013 17:00,17,27,8,25,400,99,13.2,1017.8,-15.7,0,3,LOW
4/3/2013 18:00,22,29,10,29,500,86,12.6,1018.3,-13.4,0,2.9,MEDIUM
4/3/2013 19:00,25,42,13,44,600,61,12,1018.5,-13.1,0,2.7,MEDIUM
4/3/2013 20:00,31,62,18,57,700,42,10.9,1018.8,-11.9,0,1.4,MEDIUM
4/3/2013 21:00,44,63,20,55,800,48,10.2,1018.8,-11.8,0,2,MEDIUM
4/3/2013 22:00,53,73,24,69,1200,27,10,1018.5,-12,0,3,MEDIUM
4/3/2013 23:00,58,79,37,83,1500,99,9.4,1017.5,-11.3,0,2.7,MEDIUM
5/3/2013 0:00,71,75,53,58,1200,99,8.8,1017,-10.7,0,2.1,MEDIUM
5/3/2013 1:00,76,96,82,56,1300,99,7.8,1016.5,-10.6,0,1.3,MEDIUM
5/3/2013 2:00,98,116,70,59,1300,99,4.7,1016.1,-10.6,0,0,MEDIUM
5/3/2013 3:00,100,117,71,68,1600,99,4.5,1015.7,-9.3,0,0,MEDIUM
5/3/2013 4:00,108,118,62,71,1700,99,1.3,1015.7,-8.8,0,1.2,MEDIUM
5/3/2013 5:00,130,133,40,68,1899,99,0.4,1015.7,-9.6,0,0.8,HIGH
5/3/2013 6:00,125,134,22,61,1899,99,-0.2,1015.5,-8.4,0,1,HIGH
5/3/2013 7:00,120,123,32,67,2399,99,2.1,1015.4,-8.6,0,0.9,HIGH
5/3/2013 8:00,103,123,65,75,3100,99,5,1015.1,-8.9,0,1,MEDIUM
5/3/2013 9:00,114,133,93,86,3200,99,6.7,1014.5,-8.9,0,1.3,HIGH
5/3/2013 10:00,127,154,86,105,3399,99,9.1,1013.8,-8.5,0,0.9,HIGH
5/3/2013 11:00,142,163,84,114,2899,99,10.9,1012.8,-8.4,0,1.3,HIGH
5/3/2013 12:00,151,164,88,133,3000,14,12.3,1011.4,-8.8,0,0,HIGH
5/3/2013 13:00,161,180,88,156,3200,99,13,1010.1,-8.3,0,1.5,HIGH
5/3/2013 14:00,182,184,92,168,3200,99,13.3,1009.5,-8,0,1.6,HIGH
5/3/2013 15:00,198,200,108,135,2299,99,13.8,1009.1,-7.6,0,1.9,HIGH
5/3/2013 16:00,168,198,109,94,1800,99,13.2,1009,-7.5,0,1.8,HIGH
5/3/2013 17:00,150,179,109,72,1600,94,11.6,1009.4,-7.3,0,0.7,HIGH
5/3/2013 18:00,147,170,105,86,1800,94,9.4,1009.8,-5.7,0,0.7,HIGH
5/3/2013 19:00,162,179,90,155,2799,94,6.7,1010.4,-5,0,0.1,HIGH
5/3/2013 20:00,198,216,61,145,2500,94,5.2,1010.7,-4.7,0,0,HIGH
5/3/2013 21:00,199,200,58,140,3100,94,4.3,1010.5,-2.6,0,1,HIGH
5/3/2013 22:00,184,201,57,137,3399,94,4.3,1010.7,-4.2,0,0.8,HIGH
5/3/2013 23:00,186,197,59,131,3200,94,4.9,1010.5,-5.8,0,0,HIGH
6/3/2013 0:00,187,198,68,129,3299,94,5.6,1010.4,-7,0,0.8,HIGH
6/3/2013 1:00,198,199,67,134,3399,94,3.5,1010.2,-6,0,0.5,HIGH
6/3/2013 2:00,199,226,88.66666667,124,2799,94,6.3,1009.9,-7,0,1,HIGH
6/3/2013 3:00,173,186,87,122,2899.333333,94,6.3,1009.6,-7,0,0.7,HIGH
6/3/2013 4:00,157,162,68,133.3333333,2500,94,5.1,1009.5,-6.5,0,1,HIGH
6/3/2013 5:00,151,165,82,133,2500,94,4.6,1009.8,-6.3,0,0.7,HIGH
