date,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,class
1/3/2013 0:00,9,9,6,17,200,62,0.3,1021.9,-19,0,2,LOW
1/3/2013 1:00,11,11,7,14,200,66,-0.1,1022.4,-19.3,0,4.4,LOW
1/3/2013 2:00,8,8,5.333333333,16,200,59,-0.6,1022.6,-19.7,0,4.7,LOW
1/3/2013 3:00,8,8,3,16,233.3333333,52.33333333,-0.7,1023.5,-20.9,0,2.6,LOW
1/3/2013 4:00,8,8,3,19.66666667,300,36,-0.9,1024.1,-21.7,0,2.5,LOW
1/3/2013 5:00,10,10,4,8,200,64,-1.6,1024.7,-21.1,0,2,LOW
1/3/2013 6:00,8,8,6,13,300,61,-2.4,1025.4,-20.3,0,2.3,LOW
1/3/2013 7:00,8,8,8,20,300,54,-0.8,1026.7,-19.9,0,2,LOW
1/3/2013 8:00,3,6,9,23,300,50,0.4,1027.3,-19.4,0,2.7,LOW
1/3/2013 9:00,3,6,10,18,300,56,1.5,1027.4,-19.7,0,2.9,LOW
1/3/2013 10:00,3,6,11,15,300,61,2.1,1027.3,-21.2,0,4.8,LOW
1/3/2013 11:00,3,6,9,14,300,62,3.1,1027.2,-21.1,0,4.1,LOW
1/3/2013 12:00,3,6,8,10,300,67,4.7,1026.3,-20.6,0,1.6,LOW
1/3/2013 13:00,3,9,7,9,300,70,5.5,1025.2,-20,0,3.1,LOW
1/3/2013 14:00,3,14,7,8,300,72,6.6,1024.9,-19.9,0,2.1,LOW
1/3/2013 15:00,12,14,5,7,200,73,6.1,1024.7,-19.5,0,2.4,LOW
1/3/2013 16:00,11,17,7,9,300,72,5.9,1024.7,-18.8,0,3.3,LOW
1/3/2013 17:00,13,18,8,14,300,67,5.3,1025.3,-19.3,0,2,LOW
1/3/2013 18:00,10,18,9,20,400,58,4.1,1026.4,-19.5,0,2.2,LOW
1/3/2013 19:00,10,16,7,29,500,50,3.2,1027.2,-18.9,0,2.1,LOW
1/3/2013 20:00,11,12,6,29,500,47,2.6,1028.2,-18.8,0,1.9,LOW
1/3/2013 21:00,10,12,6,31,500,44,2.2,1029.2,-17.9,0,1.1,LOW
1/3/2013 22:00,10,13,11,39,500,34,2,1029.5,-18.1,0,2,LOW
1/3/2013 23:00,15,15,14,41,500,31,1,1029.6,-18.4,0,1.8,LOW
2/3/2013 0:00,5,10,11,35,400,39,0.5,1030.2,-18.3,0,1.4,LOW
2/3/2013 1:00,3,8,9,33,400,40,-0.3,1030.2,-17.5,0,1,LOW
2/3/2013 2:00,3,6,9,29,300,44,-1.2,1029.6,-17,0,0.8,LOW
2/3/2013 3:00,3,6,9,29,400,43,-2.9,1029.7,-14.9,0,0.1,LOW
2/3/2013 4:00,3,6,8,30,400,41,-2.4,1029.8,-15.5,0,0.2,LOW
2/3/2013 5:00,8,8,6,15,300,57,-1.2,1029.2,-17.9,0,1,LOW
2/3/2013 6:00,8,8,10,31,400,37,-1.2,1028.5,-17.9,0,1.5,LOW
2/3/2013 7:00,3,6,16,61,600,8,-1.1,1029.2,-16.1,0,1.2,LOW
2/3/2013 8:00,4,7,17,53,500,17,0,1028.8,-16.8,0,1.3,LOW
2/3/2013 9:00,4,11,17,50,500,23,1.1,1028.9,-16.8,0,1,LOW
2/3/2013 10:00,5,14,22,52,600,20,1.9,1028.4,-17.1,0,2,LOW
2/3/2013 11:00,13,18,20,61,1000,15,2.5,1027.5,-17.7,0,2.1,LOW
2/3/2013 12:00,17,25,19,47,700,29,3.3,1026.2,-17.6,0,1.8,LOW
2/3/2013 13:00,24,28,18,35,600,43,4.2,1024.8,-16.8,0,1,MEDIUM
2/3/2013 14:00,18,27,23,36,800,44,4.1,1024.1,-16.3,0,1.3,LOW
2/3/2013 15:00,34,37,44,43,1100,40,3.9,1023.5,-15.9,0,1.9,MEDIUM
2/3/2013 16:00,42,56,46,44,1100,38,3.8,1022.8,-15,0,1,MEDIUM
2/3/2013 17:00,56,68,48,46,1100,37,3.1,1022.7,-14.1,0,1.1,MEDIUM
2/3/2013 18:00,56,80,51,52,1100,31,2.6,1022.5,-13.7,0,1.3,MEDIUM
2/3/2013 19:00,64,88,53,67,1300,14,0.6,1022.2,-12.8,0,0.5,MEDIUM
2/3/2013 20:00,72,96,63,83,1600,2,-0.2,1022.3,-11,0,1.1,MEDIUM
