No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,class,TARGET
1,2013,3,1,0,9,9,6,17,200,62,0.3,1021.9,-19,0,2,LOW,0
2,2013,3,1,1,11,11,7,14,200,66,-0.1,1022.4,-19.3,0,4.4,LOW,0
3,2013,3,1,2,8,8,5.333333333,16,200,59,-0.6,1022.6,-19.7,0,4.7,LOW,0
4,2013,3,1,3,8,8,3,16,233.3333333,52.33333333,-0.7,1023.5,-20.9,0,2.6,LOW,0
5,2013,3,1,4,8,8,3,19.66666667,300,36,-0.9,1024.1,-21.7,0,2.5,LOW,0
6,2013,3,1,5,10,10,4,8,200,64,-1.6,1024.7,-21.1,0,2,LOW,0
7,2013,3,1,6,8,8,6,13,300,61,-2.4,1025.4,-20.3,0,2.3,LOW,0
8,2013,3,1,7,8,8,8,20,300,54,-0.8,1026.7,-19.9,0,2,LOW,0
9,2013,3,1,8,3,6,9,23,300,50,0.4,1027.3,-19.4,0,2.7,LOW,0
10,2013,3,1,9,3,6,10,18,300,56,1.5,1027.4,-19.7,0,2.9,LOW,0
11,2013,3,1,10,3,6,11,15,300,61,2.1,1027.3,-21.2,0,4.8,LOW,0
12,2013,3,1,11,3,6,9,14,300,62,3.1,1027.2,-21.1,0,4.1,LOW,0
13,2013,3,1,12,3,6,8,10,300,67,4.7,1026.3,-20.6,0,1.6,LOW,0
14,2013,3,1,13,3,9,7,9,300,70,5.5,1025.2,-20,0,3.1,LOW,0
15,2013,3,1,14,3,14,7,8,300,72,6.6,1024.9,-19.9,0,2.1,LOW,0
16,2013,3,1,15,12,14,5,7,200,73,6.1,1024.7,-19.5,0,2.4,LOW,0
17,2013,3,1,16,11,17,7,9,300,72,5.9,1024.7,-18.8,0,3.3,LOW,0
18,2013,3,1,17,13,18,8,14,300,67,5.3,1025.3,-19.3,0,2,LOW,0
19,2013,3,1,18,10,18,9,20,400,58,4.1,1026.4,-19.5,0,2.2,LOW,0
20,2013,3,1,19,10,16,7,29,500,50,3.2,1027.2,-18.9,0,2.1,LOW,0
21,2013,3,1,20,11,12,6,29,500,47,2.6,1028.2,-18.8,0,1.9,LOW,0
22,2013,3,1,21,10,12,6,31,500,44,2.2,1029.2,-17.9,0,1.1,LOW,0
23,2013,3,1,22,10,13,11,39,500,34,2,1029.5,-18.1,0,2,LOW,0
24,2013,3,1,23,15,15,14,41,500,31,1,1029.6,-18.4,0,1.8,LOW,0
25,2013,3,2,0,5,10,11,35,400,39,0.5,1030.2,-18.3,0,1.4,LOW,0
26,2013,3,2,1,3,8,9,33,400,40,-0.3,1030.2,-17.5,0,1,LOW,0
27,2013,3,2,2,3,6,9,29,300,44,-1.2,1029.6,-17,0,0.8,LOW,0
28,2013,3,2,3,3,6,9,29,400,43,-2.9,1029.7,-14.9,0,0.1,LOW,0
29,2013,3,2,4,3,6,8,30,400,41,-2.4,1029.8,-15.5,0,0.2,LOW,0
30,2013,3,2,5,8,8,6,15,300,57,-1.2,1029.2,-17.9,0,1,LOW,0
31,2013,3,2,6,8,8,10,31,400,37,-1.2,1028.5,-17.9,0,1.5,LOW,0
32,2013,3,2,7,3,6,16,61,600,8,-1.1,1029.2,-16.1,0,1.2,LOW,0
33,2013,3,2,8,4,7,17,53,500,17,0,1028.8,-16.8,0,1.3,LOW,0
34,2013,3,2,9,4,11,17,50,500,23,1.1,1028.9,-16.8,0,1,LOW,0
35,2013,3,2,10,5,14,22,52,600,20,1.9,1028.4,-17.1,0,2,LOW,0
36,2013,3,2,11,13,18,20,61,1000,15,2.5,1027.5,-17.7,0,2.1,LOW,0
37,2013,3,2,12,17,25,19,47,700,29,3.3,1026.2,-17.6,0,1.8,LOW,0
38,2013,3,2,13,24,28,18,35,600,43,4.2,1024.8,-16.8,0,1,MEDIUM,1
39,2013,3,2,14,18,27,23,36,800,44,4.1,1024.1,-16.3,0,1.3,LOW,0
40,2013,3,2,15,34,37,44,43,1100,40,3.9,1023.5,-15.9,0,1.9,MEDIUM,1
41,2013,3,2,16,42,56,46,44,1100,38,3.8,1022.8,-15,0,1,MEDIUM,1
42,2013,3,2,17,56,68,48,46,1100,37,3.1,1022.7,-14.1,0,1.1,MEDIUM,1
43,2013,3,2,18,56,80,51,52,1100,31,2.6,1022.5,-13.7,0,1.3,MEDIUM,1
44,2013,3,2,19,64,88,53,67,1300,14,0.6,1022.2,-12.8,0,0.5,MEDIUM,1
45,2013,3,2,20,72,96,63,83,1600,2,-0.2,1022.3,-11,0,1.1,MEDIUM,1
46,2013,3,2,21,88,118,72,91,1800,2,-0.1,1021.8,-10.9,0,0.2,MEDIUM,1
47,2013,3,2,22,101,125,82,93,2000,2,-2.4,1021.3,-11.7,0,0.6,MEDIUM,1
48,2013,3,2,23,108,127,70,92,2100,2,-2.3,1020.3,-12.1,0,0.1,MEDIUM,1
49,2013,3,3,0,101,108,56,92,2100,2,-0.6,1019.4,-14.2,0,1.3,MEDIUM,1
50,2013,3,3,1,77,93,62,94,2299,2,-0.1,1018.7,-14.5,0,1.4,MEDIUM,1
51,2013,3,3,2,97,109,68,92,2600,2,-2.8,1017.3,-13.4,0,0.6,MEDIUM,1
52,2013,3,3,3,107,120,75,89,2700,2,-4.4,1016.6,-11.7,0,0.4,MEDIUM,1
53,2013,3,3,4,107,118,76,89,2799,2,-5.1,1015.9,-11.5,0,0.7,MEDIUM,1
54,2013,3,3,5,104,109,65,86,2000,2,-5.3,1015.7,-11.2,0,1,MEDIUM,1
55,2013,3,3,6,87,94,60,86,2000,2,-5.8,1015.6,-11.1,0,1,MEDIUM,1
56,2013,3,3,7,86,95,69,86,2000,2,-3.2,1015.8,-10.3,0,0.6,MEDIUM,1
57,2013,3,3,8,84,101,73,86,2399,2,1.7,1015.1,-12.5,0,0.6,MEDIUM,1
58,2013,3,3,9,88,119,83,91,2799,2,3.8,1015,-12.6,0,0.5,MEDIUM,1
59,2013,3,3,10,91,127,84,95,2600,2,7.2,1014.1,-12.1,0,0.8,MEDIUM,1
60,2013,3,3,11,93,129,88,102,2600,4,11.1,1012.8,-11.7,0,2.3,MEDIUM,1
61,2013,3,3,12,101,143,79,115,3000,6,12.7,1011.9,-12.5,0,1.9,MEDIUM,1
62,2013,3,3,13,110,152,54,92,2000,18,13.7,1010.6,-11.7,0,2.3,MEDIUM,1
63,2013,3,3,14,92,143,52,86,1800,35,14.7,1010.2,-12.6,0,2.3,MEDIUM,1
64,2013,3,3,15,114,169,43,58,1300,55,15,1009.6,-12.3,0,2.8,HIGH,2
